,delta,theta,alpha,beta,gamma1,gamma2
24,0.2926410560200854,0.1989334711305252,0.1794861549647843,0.06567358550411172,0.01924693625897351,0.012311476013032584
25,0.3749839792036897,0.26997463948918743,0.21702439129635057,0.09337683841233005,0.027623849404507905,0.017016301809929277
26,0.30684940066031796,0.2705152182875272,0.27149956217987503,0.11817832041778163,0.022703576385079024,0.010253925552080293
27,0.3004796670108545,0.28884392351400656,0.2534737207850472,0.12318342897247096,0.02459004361365662,0.009429217294835654
28,0.2742923192617272,0.2661460608410902,0.2983023389046933,0.1285863257005435,0.02422861964637492,0.008444333540312215
29,0.29094238045968507,0.2851060454782687,0.26544343993852015,0.12247562675099624,0.025942604390806274,0.010089902937608329
30,0.33040061753893657,0.2540826942712542,0.280858484147087,0.09712485812959216,0.02312545073292558,0.014407901992163961
31,0.3354861549148459,0.2834996597590736,0.2342648410624124,0.11040708849250798,0.024189654698393903,0.012152600350315464
32,0.27471986156968314,0.25862588633581535,0.31903283886893097,0.11675758818580523,0.02262364915504898,0.008240176078341774
33,0.29377156768886137,0.2773593902378015,0.27053252093389,0.12415649689419168,0.025124133643235118,0.009055886037227973
34,0.2534230885931024,,0.16283062653082636,,0.01788496772623118,0.01329014363738013
35,0.2952363053011516,0.24696408283142818,0.3412296061477964,0.09029567163615,0.016787464901923187,0.00948686891398023
36,0.3239434494882448,0.2445483857056586,0.312624937133809,0.08755630667800683,0.019383956551567407,0.011942963667260678
37,0.30221958249807357,0.24645284496247769,0.33427330330014227,0.08716794457286596,0.01827779835090041,0.011608533123508095
38,0.35194082688062617,0.24251593091549017,0.24709665064628308,0.07905713999882723,0.022705260129311147,0.015658551941697414
39,0.3485582078496615,0.24690561180313428,0.2831732389330864,0.08303398554523786,0.02256600921973586,0.015762947717060646
40,0.32396119449398303,0.24806198035136307,0.3106800483004882,0.08136920734207229,0.02094528206282913,0.01498228619520617
41,0.36144153690580183,0.2456697195314514,0.2648308929906884,0.08174338316554346,0.026322388822959765,0.019992077354398476
42,0.30087232462516644,0.24382530961458276,0.33804136351114367,0.08621153630679701,0.018794735575594555,0.012254727532996274
43,0.3268921210075155,0.24730386819514058,0.31370099756378983,0.0808218275521127,0.018696441564158974,0.012584746234160445
44,0.3481399723842962,0.24177772429452013,0.29492277574183334,0.07883393353045877,0.021242922616761122,0.015082666330706717
45,0.30981503197780025,0.24602888295283684,0.330039504246834,0.0836355909705162,0.01839366304473235,0.012087328323664574
46,0.3648597479394052,0.24062607549460588,0.2640165246165959,0.08164013711224614,0.027554162538948313,0.021303352677321013
47,0.349924834253632,0.24605025142152734,0.283885407670636,0.07910577221730045,0.02348578578540098,0.01754794728498314
48,0.30392925839387736,0.24363105488187484,0.3379494702543011,0.0841673000054505,0.01836062308031184,0.011962297948375913
49,0.3213188887986922,0.24868052648870567,0.3118588626384735,0.0825384897284938,0.020804024378496006,0.014799204304870358
50,0.33545932153032887,0.2440516958013177,0.30362626992993885,0.07982873766579562,0.02149142264129801,0.015542553162150499
51,0.34191257743274467,0.24050305867019822,0.2967344760018237,0.0818241792566636,0.022793399252216604,0.016232309205567137
