,delta_ratio_spin_r,delta_ratio_spin_p,delta_ratio_spin_p_adj,theta_ratio_spin_r,theta_ratio_spin_p,theta_ratio_spin_p_adj,alpha_ratio_spin_r,alpha_ratio_spin_p,alpha_ratio_spin_p_adj,beta_ratio_spin_r,beta_ratio_spin_p,beta_ratio_spin_p_adj,gamma1_ratio_spin_r,gamma1_ratio_spin_p,gamma1_ratio_spin_p_adj,gamma2_ratio_spin_r,gamma2_ratio_spin_p,gamma2_ratio_spin_p_adj
L2/3 IT_7,-0.41655422602960246,0.3226773226773227,1.0,-0.48459046294721775,0.16383616383616384,1.0,0.7099542658136743,0.01998001998001998,1.0,-0.19180288633898843,0.6953046953046953,1.0,-0.5972395128125046,0.06293706293706294,1.0,-0.33734952628983667,0.4865134865134865,1.0
L2/3 IT_8,0.3538276222685595,0.3226773226773227,1.0,-0.06687528477957935,0.8631368631368631,1.0,-0.3468292275993528,0.3856143856143856,1.0,-0.5109020796428028,0.13286713286713286,1.0,0.19017026127580727,0.6123876123876124,1.0,0.3967230169459945,0.2547452547452547,1.0
L4 IT_1,0.4614983220794825,0.23076923076923078,1.0,0.479702382883886,0.17082917082917082,1.0,-0.6646299345920913,0.029970029970029972,1.0,0.09297246823701193,0.8481518481518482,1.0,0.5828496292649841,0.07192807192807193,1.0,0.36450619533577183,0.4175824175824176,1.0
L4 IT_2,-0.2981106514776407,0.6223776223776224,1.0,-0.7361011331966005,0.01898101898101898,1.0,0.6500392141770174,0.1918081918081918,1.0,-0.5571831153619401,0.2807192807192807,1.0,-0.5731781485666739,0.17582417582417584,1.0,-0.049129263296945246,0.939060939060939,1.0
L4 IT_3,-0.36623413818926426,0.14485514485514486,1.0,-0.4298703646512981,0.06693306693306693,1.0,0.532173051140632,0.002997002997002997,1.0,-0.10824598676408163,0.7492507492507493,1.0,-0.437669477153707,0.07492507492507493,1.0,-0.34814221292548997,0.16083916083916083,1.0
L5 ET_1,-0.2096514901155821,0.7082917082917083,1.0,0.4515580608461401,0.3626373626373626,1.0,-0.11460377091623192,0.8701298701298701,1.0,0.707583618176337,0.059940059940059943,1.0,0.13116690645743279,0.8141858141858141,1.0,-0.5017565152442972,0.34765234765234765,1.0
L5 IT_1,-0.5567690937233148,0.06393606393606394,1.0,-0.6152839386129523,0.04195804195804196,1.0,0.7213955235787801,0.002997002997002997,1.0,-0.08333272499494696,0.8641358641358642,1.0,-0.5536142376179739,0.056943056943056944,1.0,-0.38848353554244086,0.35564435564435565,1.0
L5 IT_2,-0.1272805446077232,0.6873126873126874,1.0,-0.13930367766059756,0.6413586413586414,1.0,0.042735217884875706,0.8931068931068931,1.0,-0.21662524096906993,0.5154845154845155,1.0,-0.1702865364615174,0.5724275724275725,1.0,-0.13811186407174658,0.6523476523476524,1.0
L5 IT_3,-0.4491787644535519,0.34965034965034963,1.0,-0.6961310720485528,0.027972027972027972,1.0,0.7456214238879089,0.03196803196803197,1.0,-0.34749208140988486,0.4935064935064935,1.0,-0.6124993160559377,0.07892107892107893,1.0,-0.26301249844217756,0.6553446553446554,1.0
L5 IT_4,-0.45565679636872963,0.33766233766233766,1.0,-0.6546656557811188,0.03596403596403597,1.0,0.7462429338015533,0.017982017982017984,1.0,-0.27201815414827696,0.6013986013986014,1.0,-0.5768879751770418,0.1088911088911089,1.0,-0.24086310153828347,0.6943056943056943,1.0
