phenotype,outcome,feature,mean_abs_shap,relative_shap,total_mean_abs_shap,branch
enigma,epilepsy_rtle,L5/6 NP,0.023430693215449,0.026651586379351,0.8791481633379447,ratio_none_subclass
enigma,epilepsy_rtle,L6 CT,0.0301007009445127,0.0342384847057253,0.8791481633379447,ratio_none_subclass
enigma,epilepsy_rtle,L6 IT,0.0273221146383064,0.0310779408724122,0.8791481633379447,ratio_none_subclass
enigma,epilepsy_rtle,L6 IT Car3,0.0107644612996311,0.0122441947199897,0.8791481633379447,ratio_none_subclass
enigma,epilepsy_rtle,L6b,0.0722145676829711,0.0821415214118031,0.8791481633379447,ratio_none_subclass
enigma,epilepsy_rtle,Lamp5,0.048472420807372,0.0551356674890068,0.8791481633379447,ratio_none_subclass
enigma,epilepsy_rtle,Lamp5_Lhx6,0.0244061638804747,0.0277611498246319,0.8791481633379447,ratio_none_subclass
enigma,epilepsy_rtle,Micro-PVM,0.043727049983544,0.0497379756985687,0.8791481633379447,ratio_none_subclass
enigma,epilepsy_rtle,OPC,0.1323733222478104,0.1505699809975331,0.8791481633379447,ratio_none_subclass
enigma,epilepsy_rtle,Oligo,0.0254443420456686,0.0289420408376464,0.8791481633379447,ratio_none_subclass
enigma,epilepsy_rtle,Pax6,0.0791528955859802,0.0900336244637684,0.8791481633379447,ratio_none_subclass
enigma,epilepsy_rtle,Pvalb,0.0372022522904374,0.042316248661873,0.8791481633379447,ratio_none_subclass
enigma,epilepsy_rtle,Sncg,0.0412067558759323,0.0468712301228939,0.8791481633379447,ratio_none_subclass
enigma,epilepsy_rtle,Sst,0.0228301015563079,0.0259684345692388,0.8791481633379447,ratio_none_subclass
enigma,epilepsy_rtle,VLMC,0.0027865863893843,0.0031696436455082,0.8791481633379447,ratio_none_subclass
enigma,epilepsy_rtle,Vip,0.0354413967112377,0.0403133376024742,0.8791481633379447,ratio_none_subclass
enigma,parkinson,Astro,0.0021583672144437,0.0313962603645074,0.068745996796604,ratio_none_subclass
enigma,parkinson,Chandelier,0.003534667110005,0.0514163336734048,0.068745996796604,ratio_none_subclass
enigma,parkinson,Endo,0.0011234925801007,0.0163426618632761,0.068745996796604,ratio_none_subclass
enigma,parkinson,L2/3 IT,0.0021007010906093,0.0305574315377902,0.068745996796604,ratio_none_subclass
enigma,parkinson,L4 IT,0.001543863366748,0.0224575020901331,0.068745996796604,ratio_none_subclass
enigma,parkinson,L5 ET,0.0061598998456798,0.0896037606946753,0.068745996796604,ratio_none_subclass
enigma,parkinson,L5 IT,0.0092435860694012,0.1344599904013307,0.068745996796604,ratio_none_subclass
enigma,parkinson,L5/6 NP,0.0020386937806428,0.0296554545084953,0.068745996796604,ratio_none_subclass
enigma,parkinson,L6 CT,0.0050509136085311,0.073472112470419,0.068745996796604,ratio_none_subclass
enigma,parkinson,L6 IT,0.0023511982352388,0.0342012385418631,0.068745996796604,ratio_none_subclass
enigma,parkinson,L6 IT Car3,0.0037176595626914,0.0540781970721984,0.068745996796604,ratio_none_subclass
enigma,parkinson,L6b,0.0029326060272261,0.0426585716096716,0.068745996796604,ratio_none_subclass
enigma,parkinson,Lamp5,0.0037200522202599,0.0541130013907037,0.068745996796604,ratio_none_subclass
enigma,parkinson,Lamp5_Lhx6,0.0019709652601012,0.0286702550249246,0.068745996796604,ratio_none_subclass
enigma,parkinson,Micro-PVM,0.0032512419862855,0.0472935463559401,0.068745996796604,ratio_none_subclass
enigma,parkinson,OPC,0.0017694596071443,0.0257390930322755,0.068745996796604,ratio_none_subclass
enigma,parkinson,Oligo,0.0020970208382737,0.0305038974775237,0.068745996796604,ratio_none_subclass
enigma,parkinson,Pax6,0.0005464565844404,0.0079489222631708,0.068745996796604,ratio_none_subclass
enigma,parkinson,Pvalb,0.0010657478727741,0.0155026899373846,0.068745996796604,ratio_none_subclass
enigma,parkinson,Sncg,0.0045472024628187,0.0661449782490229,0.068745996796604,ratio_none_subclass
enigma,parkinson,Sst,0.0021354318514152,0.0310626356576546,0.068745996796604,ratio_none_subclass
enigma,parkinson,VLMC,0.0020722958404239,0.0301442402028896,0.068745996796604,ratio_none_subclass
enigma,parkinson,Vip,0.0036144737813481,0.0525772255807439,0.068745996796604,ratio_none_subclass
