branch,layer,ctype,correlation,p_value,reject_H0,p_adjusted
within_layer__clr_false__thickness_absolute,l6,L6b,-0.23196696589834842,0.43356643356643354,False,0.6894417058351484
within_layer__clr_false__thickness_absolute,l6,Lamp5,0.6080880559818798,0.012987012987012988,False,0.10497835497835498
within_layer__clr_false__thickness_absolute,l6,Lamp5_Lhx6,0.5893006221634498,0.06593406593406594,False,0.228414442700157
within_layer__clr_false__thickness_absolute,l6,Micro-PVM,0.7881092947121978,0.000999000999000999,True,0.024225774225774228
within_layer__clr_false__thickness_absolute,l6,OPC,0.6827123149073949,0.022977022977022976,False,0.13110418992771936
within_layer__clr_false__thickness_absolute,l6,Oligo,0.6015298371058003,0.00999000999000999,False,0.09690309690309691
within_layer__clr_false__thickness_absolute,l6,Pvalb,0.4005000113911967,0.1068931068931069,False,0.31351001939237233
within_layer__clr_false__thickness_absolute,l6,Sst,0.26032940634639107,0.5314685314685315,False,0.7364635364635365
within_layer__clr_false__thickness_relative,l1,Astro,-0.04236956392714561,0.8421578421578422,False,0.9389575941300079
within_layer__clr_false__thickness_relative,l1,Endo,-0.032266969963324975,0.9010989010989011,False,0.9605120154570704
within_layer__clr_false__thickness_relative,l1,Lamp5,0.1889718400210267,0.6413586413586414,False,0.8522162768738112
within_layer__clr_false__thickness_relative,l1,Micro-PVM,0.026264700466365302,0.938061938061938,False,0.9784086880861074
within_layer__clr_false__thickness_relative,l1,OPC,0.14156791220789616,0.6923076923076923,False,0.860014985014985
within_layer__clr_false__thickness_relative,l1,Pax6,-0.0807123416140349,0.7042957042957043,False,0.860014985014985
within_layer__clr_false__thickness_relative,l1,Sncg,0.5123154804499123,0.059940059940059943,False,0.28609485752342895
within_layer__clr_false__thickness_relative,l1,VLMC,0.02303545187519182,0.9180819180819181,False,0.9679776744994136
within_layer__clr_false__thickness_relative,l2,Astro,0.010449490741352279,0.954045954045954,False,0.9844942291750802
within_layer__clr_false__thickness_relative,l2,Chandelier,-0.15693548897668866,0.35864135864135865,False,0.7401747188981231
within_layer__clr_false__thickness_relative,l2,Endo,-0.07949893235362215,0.6723276723276723,False,0.8581024238918976
within_layer__clr_false__thickness_relative,l2,L2/3 IT,-0.10908324813263207,0.5144855144855145,False,0.8049208855660469
within_layer__clr_false__thickness_relative,l2,Lamp5,0.17637602443895714,0.21678321678321677,False,0.5584678479415321
within_layer__clr_false__thickness_relative,l2,Lamp5_Lhx6,0.0757008843482668,0.6653346653346653,False,0.8581024238918976
within_layer__clr_false__thickness_relative,l2,Micro-PVM,-0.008563552407479948,0.97002997002997,False,0.9904516536095485
within_layer__clr_false__thickness_relative,l2,OPC,0.051849552772997264,0.7612387612387612,False,0.8896404800019259
within_layer__clr_false__thickness_relative,l2,Pax6,0.2504588996101754,0.1108891108891109,False,0.36823176823176823
within_layer__clr_false__thickness_relative,l2,Pvalb,-0.10048246974504134,0.5964035964035964,False,0.8264449835878408
within_layer__clr_false__thickness_relative,l2,Sncg,0.28667363937839213,0.07592407592407592,False,0.3202015375928419
within_layer__clr_false__thickness_relative,l2,Sst,0.09023312230738786,0.5854145854145855,False,0.8229741273219534
within_layer__clr_false__thickness_relative,l2,Vip,0.18147777550648733,0.34465534465534464,False,0.7267732267732268
within_layer__clr_false__thickness_relative,l3,Astro,-0.18972088763903447,0.44455544455544455,False,0.7686550737398196
within_layer__clr_false__thickness_relative,l3,Chandelier,-0.21064195157176646,0.4675324675324675,False,0.7686550737398196
within_layer__clr_false__thickness_relative,l3,Endo,0.14927424580457874,0.46053946053946054,False,0.7686550737398196
within_layer__clr_false__thickness_relative,l3,L2/3 IT,0.33610629835658695,0.21878121878121878,False,0.5584678479415321
within_layer__clr_false__thickness_relative,l3,L4 IT,-0.5508742794117798,0.002997002997002997,True,0.048451548451548455
within_layer__clr_false__thickness_relative,l3,L5 ET,0.08307552171020305,0.8181818181818182,False,0.9336898395721925
within_layer__clr_false__thickness_relative,l3,L5 IT,-0.10119305955129598,0.7092907092907093,False,0.860014985014985
within_layer__clr_false__thickness_relative,l3,L5/6 NP,0.17882366833183483,0.5534465534465535,False,0.812275959334783
within_layer__clr_false__thickness_relative,l3,L6 CT,0.1689731464141754,0.43756243756243757,False,0.7686550737398196
within_layer__clr_false__thickness_relative,l3,L6 IT,-0.12077337159617936,0.6333666333666333,False,0.8522162768738112
within_layer__clr_false__thickness_relative,l3,L6 IT Car3,0.27134802964582355,0.17482517482517482,False,0.5138800593346048
within_layer__clr_false__thickness_relative,l3,L6b,0.29959253313384376,0.2097902097902098,False,0.5584678479415321
within_layer__clr_false__thickness_relative,l3,Lamp5,0.10061606901042563,0.5674325674325674,False,0.812275959334783
within_layer__clr_false__thickness_relative,l3,Lamp5_Lhx6,0.25483260129347934,0.2887112887112887,False,0.6364771592044319
within_layer__clr_false__thickness_relative,l3,Micro-PVM,-0.12563161790834587,0.6213786213786214,False,0.8489257221651589
within_layer__clr_false__thickness_relative,l3,OPC,-0.23420985358557778,0.4075924075924076,False,0.7686550737398196
within_layer__clr_false__thickness_relative,l3,Oligo,-0.0012177774127760802,0.995004995004995,False,0.995004995004995
within_layer__clr_false__thickness_relative,l3,Pax6,-0.06693590627872821,0.8321678321678322,False,0.9386079037241829
within_layer__clr_false__thickness_relative,l3,Pvalb,-0.20009262429304547,0.37462537462537465,False,0.7570554445554446
within_layer__clr_false__thickness_relative,l3,Sncg,0.15096280210014776,0.4385614385614386,False,0.7686550737398196
within_layer__clr_false__thickness_relative,l3,Sst,0.3848285032034874,0.061938061938061936,False,0.28609485752342895
within_layer__clr_false__thickness_relative,l3,Vip,0.3970842886399342,0.08591408591408592,False,0.32052562821793595
within_layer__clr_false__thickness_relative,l4,Astro,-0.5170245563218763,0.028971028971028972,False,0.20072784358498647
within_layer__clr_false__thickness_relative,l4,Chandelier,-0.41128054255045127,0.07292707292707293,False,0.3202015375928419
within_layer__clr_false__thickness_relative,l4,Endo,-0.12472222868959723,0.42857142857142855,False,0.7686550737398196
within_layer__clr_false__thickness_relative,l4,L2/3 IT,0.3636710317907117,0.05194805194805195,False,0.26520847573479156
within_layer__clr_false__thickness_relative,l4,L4 IT,0.14128424484348734,0.7472527472527473,False,0.8839453229697132
within_layer__clr_false__thickness_relative,l4,L5 ET,-0.22544185407850012,0.5694305694305695,False,0.812275959334783
within_layer__clr_false__thickness_relative,l4,L5 IT,-0.48933758899356433,0.03296703296703297,False,0.21318681318681318
within_layer__clr_false__thickness_relative,l4,L5/6 NP,0.6593735865531382,0.002997002997002997,True,0.048451548451548455
within_layer__clr_false__thickness_relative,l4,Lamp5,0.06977673918225366,0.8581418581418582,False,0.9459063663609119
within_layer__clr_false__thickness_relative,l4,Lamp5_Lhx6,0.6010867142049886,0.003996003996003996,True,0.048451548451548455
within_layer__clr_false__thickness_relative,l4,Micro-PVM,-0.5225203642089311,0.00999000999000999,False,0.08809372445736083
within_layer__clr_false__thickness_relative,l4,OPC,-0.25038605782160966,0.4775224775224775,False,0.771994671994672
within_layer__clr_false__thickness_relative,l4,Oligo,0.32079753553799184,0.2677322677322677,False,0.6129684269219153
within_layer__clr_false__thickness_relative,l4,Pax6,0.21388668614004422,0.4025974025974026,False,0.7686550737398196
within_layer__clr_false__thickness_relative,l4,Pvalb,-0.25421837721914275,0.26873126873126874,False,0.6129684269219153
within_layer__clr_false__thickness_relative,l4,Sncg,-0.3948846604004483,0.11388611388611389,False,0.36823176823176823
within_layer__clr_false__thickness_relative,l4,Sst,-0.5296864898883432,0.01898101898101898,False,0.15342990342990342
within_layer__clr_false__thickness_relative,l4,Vip,-0.3788565242217579,0.03896103896103896,False,0.2362012987012987
within_layer__clr_false__thickness_relative,l5,Astro,0.2813229821452061,0.24675324675324675,False,0.6129684269219153
within_layer__clr_false__thickness_relative,l5,Chandelier,0.4809611884298304,0.08591408591408592,False,0.32052562821793595
within_layer__clr_false__thickness_relative,l5,Endo,0.0021879022082748156,0.985014985014985,False,0.995004995004995
within_layer__clr_false__thickness_relative,l5,L4 IT,0.21579932826717513,0.5344655344655345,False,0.8115634365634365
within_layer__clr_false__thickness_relative,l5,L5 ET,0.42980349708740073,0.15684315684315683,False,0.4907672972189101
within_layer__clr_false__thickness_relative,l5,L5 IT,-0.3181078509231394,0.27172827172827174,False,0.6129684269219153
within_layer__clr_false__thickness_relative,l5,L5/6 NP,-0.23607955884461773,0.45454545454545453,False,0.7686550737398196
within_layer__clr_false__thickness_relative,l5,L6 CT,0.179611893183117,0.5474525474525475,False,0.812275959334783
within_layer__clr_false__thickness_relative,l5,L6 IT,-0.1585614492277635,0.4565434565434565,False,0.7686550737398196
within_layer__clr_false__thickness_relative,l5,L6 IT Car3,-0.21710410812751132,0.4385614385614386,False,0.7686550737398196
within_layer__clr_false__thickness_relative,l5,L6b,-0.08518973203264063,0.6673326673326674,False,0.8581024238918976
within_layer__clr_false__thickness_relative,l5,Lamp5,0.23936948918325004,0.4935064935064935,False,0.7847562273791782
within_layer__clr_false__thickness_relative,l5,Lamp5_Lhx6,-0.06022453950619892,0.8741258741258742,False,0.9526989864068517
within_layer__clr_false__thickness_relative,l5,Micro-PVM,0.34261630966934753,0.16383616383616384,False,0.49662837162837165
within_layer__clr_false__thickness_relative,l5,OPC,0.45202959990482766,0.08591408591408592,False,0.32052562821793595
within_layer__clr_false__thickness_relative,l5,Oligo,0.04439751757638706,0.8981018981018981,False,0.9605120154570704
within_layer__clr_false__thickness_relative,l5,Pvalb,0.2575696834836141,0.1998001998001998,False,0.5537319823034109
within_layer__clr_false__thickness_relative,l5,Sst,0.1477199766129606,0.5354645354645354,False,0.8115634365634365
within_layer__clr_false__thickness_relative,l5,Vip,0.42445443991316045,0.1088911088911089,False,0.36823176823176823
within_layer__clr_false__thickness_relative,l6,Astro,0.6961507506856089,0.004995004995004995,False,0.05383505383505383
within_layer__clr_false__thickness_relative,l6,Chandelier,0.773715070386979,0.000999000999000999,True,0.048451548451548455
within_layer__clr_false__thickness_relative,l6,Endo,0.4402603185222503,0.09290709290709291,False,0.33377733377733376
within_layer__clr_false__thickness_relative,l6,L5 ET,-0.357025989375156,0.26373626373626374,False,0.6129684269219153
within_layer__clr_false__thickness_relative,l6,L5 IT,-0.7280857193051136,0.003996003996003996,True,0.048451548451548455
within_layer__clr_false__thickness_relative,l6,L5/6 NP,-0.15638612875035796,0.6853146853146853,False,0.860014985014985
within_layer__clr_false__thickness_relative,l6,L6 CT,-0.6085113699831735,0.001998001998001998,True,0.048451548451548455
within_layer__clr_false__thickness_relative,l6,L6 IT,-0.5536520429965046,0.1928071928071928,False,0.5500675794793443
within_layer__clr_false__thickness_relative,l6,L6 IT Car3,0.07454925967194533,0.8101898101898102,False,0.9336898395721925
within_layer__clr_false__thickness_relative,l6,L6b,-0.08768007276908235,0.7402597402597403,False,0.8839453229697132
within_layer__clr_false__thickness_relative,l6,Lamp5,0.6290853402153243,0.003996003996003996,True,0.048451548451548455
within_layer__clr_false__thickness_relative,l6,Lamp5_Lhx6,0.6450398414295981,0.024975024975024976,False,0.18635210942903252
within_layer__clr_false__thickness_relative,l6,Micro-PVM,0.7240542935458703,0.005994005994005994,False,0.05814185814185815
within_layer__clr_false__thickness_relative,l6,OPC,0.7669530515228437,0.003996003996003996,True,0.048451548451548455
within_layer__clr_false__thickness_relative,l6,Oligo,0.47158209527204076,0.05194805194805195,False,0.26520847573479156
within_layer__clr_false__thickness_relative,l6,Pvalb,0.46323588266264243,0.04795204795204795,False,0.26520847573479156
within_layer__clr_false__thickness_relative,l6,Sst,0.3925673519320251,0.3436563436563437,False,0.7267732267732268
within_layer__clr_true__thickness_absolute,l1,Astro,-0.4613513993887187,0.2087912087912088,False,0.4050549450549451
within_layer__clr_true__thickness_absolute,l1,Endo,0.18226279775141047,0.5114885114885115,False,0.6796491180052824
within_layer__clr_true__thickness_absolute,l1,Lamp5,-0.17731744335965952,0.7452547452547452,False,0.9128032461365794
within_layer__clr_true__thickness_absolute,l1,Micro-PVM,0.5061504155192812,0.19080919080919082,False,0.3937976916700321
within_layer__clr_true__thickness_absolute,l1,OPC,-0.346894979205608,0.12987012987012986,False,0.32301032301032295
within_layer__clr_true__thickness_absolute,l1,Pax6,-0.3460667764550357,0.2947052947052947,False,0.5015160278318173
within_layer__clr_true__thickness_absolute,l1,Sncg,0.27738211257494544,0.5504495504495505,False,0.711914751914752
within_layer__clr_true__thickness_absolute,l1,VLMC,-0.3633792384596382,0.26173826173826176,False,0.46028971028971033
within_layer__clr_true__thickness_absolute,l2,Astro,-0.054717502754119594,0.8631368631368631,False,0.952513395695214
within_layer__clr_true__thickness_absolute,l2,Chandelier,0.06628782622526981,0.8771228771228772,False,0.9559653829316752
within_layer__clr_true__thickness_absolute,l2,Endo,-0.0018172287314671177,0.99000999000999,False,0.99000999000999
within_layer__clr_true__thickness_absolute,l2,L2/3 IT,-0.40380806492629867,0.2057942057942058,False,0.4050549450549451
within_layer__clr_true__thickness_absolute,l2,Lamp5,-0.08753975874350027,0.8121878121878122,False,0.9496503496503497
within_layer__clr_true__thickness_absolute,l2,Lamp5_Lhx6,-0.3098383071135683,0.26573426573426573,False,0.46028971028971033
within_layer__clr_true__thickness_absolute,l2,Micro-PVM,0.47565233455423933,0.11188811188811189,False,0.2856091277143909
within_layer__clr_true__thickness_absolute,l2,OPC,0.02861908983710333,0.9330669330669331,False,0.9628456649733246
within_layer__clr_true__thickness_absolute,l2,Pax6,0.6584909521871631,0.000999000999000999,True,0.013843299557585273
within_layer__clr_true__thickness_absolute,l2,Pvalb,-0.4385247105432436,0.14385614385614387,False,0.3403425842450233
within_layer__clr_true__thickness_absolute,l2,Sncg,0.5552886041265883,0.013986013986013986,False,0.07536907536907536
within_layer__clr_true__thickness_absolute,l2,Sst,-0.3669862646374239,0.22477522477522477,False,0.41929224621532313
within_layer__clr_true__thickness_absolute,l2,Vip,-0.07433792271513322,0.8631368631368631,False,0.952513395695214
within_layer__clr_true__thickness_absolute,l3,Astro,0.2905529341472498,0.3026973026973027,False,0.5062351441661787
within_layer__clr_true__thickness_absolute,l3,Chandelier,0.26308773428432947,0.3626373626373626,False,0.5583464154892726
within_layer__clr_true__thickness_absolute,l3,Endo,0.18553701632362615,0.4155844155844156,False,0.6031133046058419
within_layer__clr_true__thickness_absolute,l3,L2/3 IT,-0.21616598857952649,0.4435564435564436,False,0.6235503626807974
within_layer__clr_true__thickness_absolute,l3,L4 IT,-0.519865343452803,0.006993006993006993,True,0.048451548451548455
within_layer__clr_true__thickness_absolute,l3,L5 ET,-0.25023389567829085,0.4095904095904096,False,0.6031133046058419
within_layer__clr_true__thickness_absolute,l3,L5 IT,-0.489085560296198,0.04095904095904096,False,0.1737572772055531
within_layer__clr_true__thickness_absolute,l3,L5/6 NP,-0.33469722885209935,0.22377622377622378,False,0.41929224621532313
within_layer__clr_true__thickness_absolute,l3,L6 CT,-0.35934663902963127,0.14385614385614387,False,0.3403425842450233
within_layer__clr_true__thickness_absolute,l3,L6 IT,-0.5857183381563035,0.002997002997002997,True,0.026428117337208245
within_layer__clr_true__thickness_absolute,l3,L6 IT Car3,-0.21567402088363877,0.4165834165834166,False,0.6031133046058419
within_layer__clr_true__thickness_absolute,l3,L6b,-0.26370880655108286,0.3356643356643357,False,0.5353498960056337
within_layer__clr_true__thickness_absolute,l3,Lamp5,0.07403667747562762,0.8321678321678322,False,0.9496503496503497
within_layer__clr_true__thickness_absolute,l3,Lamp5_Lhx6,-0.2662278554560362,0.3356643356643357,False,0.5353498960056337
within_layer__clr_true__thickness_absolute,l3,Micro-PVM,0.4248054940384732,0.0899100899100899,False,0.24225774225774224
within_layer__clr_true__thickness_absolute,l3,OPC,0.05849372651423568,0.8641358641358642,False,0.952513395695214
within_layer__clr_true__thickness_absolute,l3,Oligo,-0.09626193139787657,0.7542457542457542,False,0.9128032461365794
within_layer__clr_true__thickness_absolute,l3,Pax6,0.4189250911033485,0.06693306693306693,False,0.2164169164169164
within_layer__clr_true__thickness_absolute,l3,Pvalb,-0.44540425476650347,0.04495504495504495,False,0.1737572772055531
within_layer__clr_true__thickness_absolute,l3,Sncg,0.28983166425901713,0.15084915084915085,False,0.3470483005366727
within_layer__clr_true__thickness_absolute,l3,Sst,-0.1053170620243445,0.7622377622377622,False,0.9128032461365794
