,Layer I,Layer II,Layer III,Layer IV,Layer V,Layer VI
139,0.25649698467016163,0.2371686898391959,0.6417855572809359,0.20251888103051896,0.4316244252789585,0.5271580260928898
141,0.2642479673933618,0.2561801608340117,0.6891942422317303,0.213395429183647,0.4446635508625374,0.542891856418086
143,0.2516046759616849,0.2404468391662145,0.6677143407488781,0.2067403252106242,0.43771926709045456,0.5110125226025998
145,0.27790357866023624,0.24956821537742804,0.6498045295439663,0.20869084473587202,0.4585096769140372,0.5688569908936667
147,0.23057973365389905,0.22758900787348652,0.5943617462689599,0.24146651193880095,0.44911042499098985,0.46307032047571006
149,0.24464580976371725,0.22290857835619965,0.6072911521290655,0.19708037729166616,0.41178580191056335,0.4895740857088395
151,0.24259794126778203,0.21494561306093218,0.5973856956895323,0.19930059428858823,0.39849999339840014,0.4552527341244
153,0.22700580087864836,0.21610641243595455,0.6150345440044945,0.19423106481348432,0.42838682595055844,0.4935075401730353
155,0.2694973115357696,0.22768323914642258,0.6063940912229842,0.2049496159301092,0.443545063331128,0.544900810139771
157,0.28481354254911045,0.2518722203712257,0.6212691646527588,0.21643709049497162,0.46139948606959663,0.5945214657169291
159,0.2455158344266405,0.2169375375620518,0.5935955631495281,0.19281809187716456,0.44184351764059154,0.5351778229422077
161,0.24095523937812824,0.2024341976888231,0.5407372189516211,0.18892862138670513,0.3658641371288991,0.43678421635930637
163,0.30592821997467096,0.23681117207326302,0.6359597038737247,0.1821455060366316,0.474250990606002,0.5451217740393596
165,0.2573496413477601,0.22431493080807963,0.6154980845310319,0.17619968005195177,0.4806643367849918,0.626991732369414
167,0.27964999970728444,0.23973367544588164,0.6330583232062594,0.16436452153505807,0.49125947876786613,0.6435678273757665
169,0.29843291018366913,0.2523462315021315,0.7827343882486022,0.17126185005247885,0.4766991678943992,0.607436224575257
171,0.3171655795692428,0.24891952962619932,0.7004961576148143,0.16681153121039766,0.5071781442363832,0.6169356046600276
173,0.28880570084850776,0.25024918614221864,0.7252019345826178,0.16720122593954084,0.4929957703641348,0.6525314386258989
175,0.22932974487966062,0.2138063261672723,0.6017464806016782,0.152763208116726,0.4223342878670232,0.533905176398907
177,0.27258826467708525,0.2351017855000005,0.5936486017291674,0.1452072661874992,0.4446432901875006,0.5608632616562491
179,0.2902272225409609,0.24513887144934027,0.6039265022847812,0.13540894296192305,0.4418841375582696,0.5455220253819477
181,0.23562666355818335,0.1914887880466759,0.5536029896866973,0.20308706351023215,0.4096464449296679,0.4929547539418102
183,0.28759479744245187,0.23590959382596283,0.6206961086809455,0.14344967552255727,0.43842157351058636,0.5504332839272512
