branch,layer,ctype,correlation_unclosed,p_value_unclosed,reject_H0_unclosed,p_adjusted_unclosed,correlation_reclosed,p_value_reclosed,reject_H0_reclosed,p_adjusted_reclosed
within_region_cross_layer__clr_false__thickness_absolute,l2,Astro,0.1232971793798886,0.5804195804195804,False,0.7316183816183817,0.12329717937991978,0.5804195804195804,False,0.7329849637541945
within_region_cross_layer__clr_false__thickness_absolute,l2,Chandelier,-0.2003854976477191,0.5444555444555444,False,0.7136782136782137,-0.2003854976476887,0.5444555444555444,False,0.7136782136782137
within_region_cross_layer__clr_false__thickness_absolute,l2,Endo,-0.1158113040433273,0.6023976023976024,False,0.7316183816183817,-0.11587677282661495,0.6073926073926074,False,0.7333530666864
within_region_cross_layer__clr_false__thickness_absolute,l2,L2/3 IT,0.1060234937130966,0.6863136863136863,False,0.7925288996717568,0.10602349371340032,0.6863136863136863,False,0.7925288996717568
within_region_cross_layer__clr_false__thickness_absolute,l2,Lamp5,0.3630323780323368,0.1988011988011988,False,0.4017440892440893,0.3630323780324724,0.19880119880119881,False,0.4017440892440893
within_region_cross_layer__clr_false__thickness_absolute,l2,Lamp5_Lhx6,0.3822331439692468,0.1608391608391608,False,0.3531579531579532,0.38223314396921115,0.16083916083916083,False,0.3531579531579532
within_region_cross_layer__clr_false__thickness_absolute,l2,Micro-PVM,0.0700102607412406,0.8091908091908092,False,0.8985559894650804,0.07001026074116164,0.8091908091908092,False,0.8985559894650804
within_region_cross_layer__clr_false__thickness_absolute,l2,OPC,0.1834066727746059,0.6123876123876124,False,0.7333530666864,0.183406672774633,0.6123876123876124,False,0.7333530666864
within_region_cross_layer__clr_false__thickness_absolute,l2,Pax6,0.5667402839133808,0.0159840159840159,False,0.062017982017982,0.5667402839135418,0.015984015984015984,False,0.062017982017982025
within_region_cross_layer__clr_false__thickness_absolute,l2,Pvalb,-0.1789870214545476,0.5314685314685315,False,0.7061979116773637,-0.17898702145458353,0.5314685314685315,False,0.7061979116773637
within_region_cross_layer__clr_false__thickness_absolute,l2,Sncg,0.4829392752995095,0.0769230769230769,False,0.2194570135746606,0.482939275299545,0.07692307692307693,False,0.21945701357466066
within_region_cross_layer__clr_false__thickness_absolute,l2,Sst,-0.0058314972569506,0.988011988011988,False,0.988011988011988,-0.0058314972569522335,0.988011988011988,False,0.988011988011988
within_region_cross_layer__clr_false__thickness_absolute,l2,Vip,0.2944071641029334,0.1518481518481518,False,0.3425411797504821,0.2944071641029087,0.15184815184815184,False,0.3425411797504821
within_region_cross_layer__clr_false__thickness_absolute,l3,Astro,0.235282653726714,0.3246753246753247,False,0.5248917748917749,0.23528265372672713,0.3246753246753247,False,0.5248917748917749
within_region_cross_layer__clr_false__thickness_absolute,l3,Chandelier,0.2467839103981839,0.2447552447552447,False,0.4668967396240123,0.24678391039821174,0.24475524475524477,False,0.4668967396240123
within_region_cross_layer__clr_false__thickness_absolute,l3,Endo,0.1223869670975401,0.5074925074925075,False,0.6933348341799047,0.15507078646842268,0.40559440559440557,False,0.6147290209790209
within_region_cross_layer__clr_false__thickness_absolute,l3,L2/3 IT,0.0513597574468515,0.8991008991008991,False,0.9578106104421894,0.05135975744722876,0.8991008991008991,False,0.9578106104421894
within_region_cross_layer__clr_false__thickness_absolute,l3,L4 IT,-0.25018466109723,0.4735264735264735,False,0.661709718852576,-0.2501846610973584,0.47352647352647353,False,0.661709718852576
within_region_cross_layer__clr_false__thickness_absolute,l3,L5 ET,-0.0262696447684244,0.938061938061938,False,0.9578106104421894,-0.02626964476841233,0.938061938061938,False,0.9578106104421894
within_region_cross_layer__clr_false__thickness_absolute,l3,L5 IT,-0.2940123529852907,0.2497502497502497,False,0.4668967396240123,-0.2940123529854326,0.24975024975024976,False,0.4668967396240123
within_region_cross_layer__clr_false__thickness_absolute,l3,L5/6 NP,-0.0964703019869766,0.7862137862137862,False,0.8867760146829915,-0.0964703019869346,0.7862137862137862,False,0.8867760146829915
within_region_cross_layer__clr_false__thickness_absolute,l3,L6 CT,-0.0285173466155827,0.9330669330669332,False,0.9578106104421894,-0.028517346615508338,0.9330669330669331,False,0.9578106104421894
within_region_cross_layer__clr_false__thickness_absolute,l3,L6 IT,-0.5400448204550341,0.0029970029970029,True,0.0153004889846995,-0.5400448204550082,0.002997002997002997,True,0.014535464535464537
within_region_cross_layer__clr_false__thickness_absolute,l3,L6 IT Car3,-0.0991668879895063,0.8151848151848152,False,0.8985559894650804,-0.09916688798950407,0.8151848151848152,False,0.8985559894650804
within_region_cross_layer__clr_false__thickness_absolute,l3,L6b,0.0402901872854862,0.91008991008991,False,0.9578106104421894,0.04029018728550638,0.9100899100899101,False,0.9578106104421894
within_region_cross_layer__clr_false__thickness_absolute,l3,Lamp5,0.1482843650170598,0.6353646353646354,False,0.7425345738598751,0.14828436501724054,0.6353646353646354,False,0.7425345738598751
within_region_cross_layer__clr_false__thickness_absolute,l3,Lamp5_Lhx6,0.0925964159389257,0.7762237762237763,False,0.8858083093377211,0.09259641593886328,0.7762237762237763,False,0.8858083093377211
within_region_cross_layer__clr_false__thickness_absolute,l3,Micro-PVM,0.2433997382808938,0.2307692307692307,False,0.456828885400314,0.24339973828081735,0.23076923076923078,False,0.456828885400314
within_region_cross_layer__clr_false__thickness_absolute,l3,OPC,-0.0559153089832894,0.8641358641358642,False,0.9313464313464314,-0.05591530898318143,0.8641358641358642,False,0.9313464313464314
within_region_cross_layer__clr_false__thickness_absolute,l3,Oligo,-0.1569400699450379,0.5894105894105894,False,0.7316183816183817,-0.15694006994502166,0.5894105894105894,False,0.7329849637541945
within_region_cross_layer__clr_false__thickness_absolute,l3,Pax6,0.1715500127763793,0.5234765234765235,False,0.7052392052392052,0.17155001277648424,0.5234765234765235,False,0.7061979116773637
within_region_cross_layer__clr_false__thickness_absolute,l3,Pvalb,-0.2110732114408548,0.2627372627372627,False,0.4668967396240123,-0.2110732114410178,0.2627372627372627,False,0.4668967396240123
within_region_cross_layer__clr_false__thickness_absolute,l3,Sncg,0.0088718695495375,0.98001998001998,False,0.988011988011988,0.008871869549575778,0.98001998001998,False,0.988011988011988
within_region_cross_layer__clr_false__thickness_absolute,l3,Sst,-0.0269864317807523,0.9270729270729272,False,0.9578106104421894,-0.02698643178062033,0.9270729270729271,False,0.9578106104421894
within_region_cross_layer__clr_false__thickness_absolute,l3,Vip,0.1779721370950261,0.5874125874125874,False,0.7316183816183817,0.1779721370949091,0.5874125874125874,False,0.7329849637541945
within_region_cross_layer__clr_false__thickness_absolute,l4,Astro,0.7817279893473628,0.0009990009990009,True,0.0064602064602064,0.7817279893473568,0.000999000999000999,True,0.00646020646020646
within_region_cross_layer__clr_false__thickness_absolute,l4,Chandelier,0.7306040405731531,0.0009990009990009,True,0.0064602064602064,0.7306040405731425,0.000999000999000999,True,0.00646020646020646
within_region_cross_layer__clr_false__thickness_absolute,l4,Endo,0.6721060502981079,0.0039960039960039,True,0.0193806193806193,0.666699590987608,0.002997002997002997,True,0.014535464535464537
within_region_cross_layer__clr_false__thickness_absolute,l4,L2/3 IT,0.76668091812835,0.0009990009990009,True,0.0064602064602064,0.7666809181283529,0.000999000999000999,True,0.00646020646020646
within_region_cross_layer__clr_false__thickness_absolute,l4,L4 IT,0.6568924043884459,0.0149850149850149,False,0.062017982017982,0.656892404388471,0.014985014985014986,False,0.062017982017982025
within_region_cross_layer__clr_false__thickness_absolute,l4,L5 ET,0.7827374428418942,0.0009990009990009,True,0.0064602064602064,0.7827374428418964,0.000999000999000999,True,0.00646020646020646
within_region_cross_layer__clr_false__thickness_absolute,l4,L5 IT,0.6569895631003796,0.0159840159840159,False,0.062017982017982,0.6569895631003921,0.015984015984015984,False,0.062017982017982025
within_region_cross_layer__clr_false__thickness_absolute,l4,L5/6 NP,0.7792602425120677,0.0009990009990009,True,0.0064602064602064,0.779260242512077,0.000999000999000999,True,0.00646020646020646
within_region_cross_layer__clr_false__thickness_absolute,l4,Lamp5,0.7903856000606927,0.0009990009990009,True,0.0064602064602064,0.7903856000606965,0.000999000999000999,True,0.00646020646020646
within_region_cross_layer__clr_false__thickness_absolute,l4,Lamp5_Lhx6,0.7816137369384698,0.0009990009990009,True,0.0064602064602064,0.7816137369384751,0.000999000999000999,True,0.00646020646020646
within_region_cross_layer__clr_false__thickness_absolute,l4,Micro-PVM,0.7715032963132228,0.0009990009990009,True,0.0064602064602064,0.7715032963132276,0.000999000999000999,True,0.00646020646020646
within_region_cross_layer__clr_false__thickness_absolute,l4,OPC,0.7799689874724776,0.0009990009990009,True,0.0064602064602064,0.7799689874724735,0.000999000999000999,True,0.00646020646020646
within_region_cross_layer__clr_false__thickness_absolute,l4,Oligo,0.79693944548569,0.0009990009990009,True,0.0064602064602064,0.7969394454856904,0.000999000999000999,True,0.00646020646020646
within_region_cross_layer__clr_false__thickness_absolute,l4,Pax6,0.7693074202372625,0.0009990009990009,True,0.0064602064602064,0.7693074202372718,0.000999000999000999,True,0.00646020646020646
within_region_cross_layer__clr_false__thickness_absolute,l4,Pvalb,0.7515811420887598,0.0009990009990009,True,0.0064602064602064,0.7515811420887818,0.000999000999000999,True,0.00646020646020646
within_region_cross_layer__clr_false__thickness_absolute,l4,Sncg,0.7605437874182343,0.0009990009990009,True,0.0064602064602064,0.7605437874182558,0.000999000999000999,True,0.00646020646020646
within_region_cross_layer__clr_false__thickness_absolute,l4,Sst,0.7177946693278598,0.0029970029970029,True,0.0153004889846995,0.7177946693278571,0.002997002997002997,True,0.014535464535464537
within_region_cross_layer__clr_false__thickness_absolute,l4,Vip,0.7546210554144414,0.0009990009990009,True,0.0064602064602064,0.754621055414447,0.000999000999000999,True,0.00646020646020646
within_region_cross_layer__clr_false__thickness_absolute,l5,Astro,0.4314741874335054,0.0939060939060939,False,0.253024753024753,0.43147418743351706,0.0939060939060939,False,0.253024753024753
within_region_cross_layer__clr_false__thickness_absolute,l5,Chandelier,0.4496035192703005,0.3126873126873127,False,0.5229425746667127,0.44960351927030373,0.3126873126873127,False,0.5229425746667127
within_region_cross_layer__clr_false__thickness_absolute,l5,Endo,0.2240785803329663,0.4485514485514486,False,0.6398454486689782,0.2244508848401117,0.4305694305694306,False,0.6328065873520419
within_region_cross_layer__clr_false__thickness_absolute,l5,L4 IT,0.4942939801670646,0.1638361638361638,False,0.3531579531579532,0.4942939801670656,0.16383616383616384,False,0.3531579531579532
within_region_cross_layer__clr_false__thickness_absolute,l5,L5 ET,0.5878603568931365,0.0759240759240759,False,0.2194570135746606,0.5878603568931319,0.07592407592407592,False,0.21945701357466066
within_region_cross_layer__clr_false__thickness_absolute,l5,L5 IT,0.601871816808798,0.0229770229770229,False,0.0825470825470825,0.6018718168087366,0.022977022977022976,False,0.08254708254708254
within_region_cross_layer__clr_false__thickness_absolute,l5,L5/6 NP,0.7658207036700897,0.0009990009990009,True,0.0064602064602064,0.7658207036700121,0.000999000999000999,True,0.00646020646020646
within_region_cross_layer__clr_false__thickness_absolute,l5,L6 CT,0.4968397930394383,0.1348651348651348,False,0.3114742400456686,0.4968397930395159,0.13486513486513488,False,0.31147424004566865
within_region_cross_layer__clr_false__thickness_absolute,l5,L6 IT,0.3542664184918389,0.2797202797202797,False,0.4845154845154846,0.35426641849181784,0.27972027972027974,False,0.4845154845154846
within_region_cross_layer__clr_false__thickness_absolute,l5,L6 IT Car3,0.4351172402245531,0.1268731268731268,False,0.3076673326673327,0.435117240224617,0.12687312687312688,False,0.3076673326673327
within_region_cross_layer__clr_false__thickness_absolute,l5,L6b,0.4929730020649027,0.0569430569430569,False,0.1781766620476298,0.4929730020648849,0.056943056943056944,False,0.1781766620476298
within_region_cross_layer__clr_false__thickness_absolute,l5,Lamp5,0.3028591227401139,0.4775224775224775,False,0.661709718852576,0.3028591227401473,0.4775224775224775,False,0.661709718852576
within_region_cross_layer__clr_false__thickness_absolute,l5,Lamp5_Lhx6,0.4369011959631732,0.2627372627372627,False,0.4668967396240123,0.4369011959631407,0.2627372627372627,False,0.4668967396240123
