,Layer I,Layer II,Layer III,Layer IV,Layer V,Layer VI
47,0.13242306654820626,0.09434829113541743,0.25260102592863487,0.07284736247937354,0.2002603550742767,0.2475198988340911
49,0.12263253523901908,0.10073971918193243,0.27306600191832736,0.07795320026202725,0.1806395995501328,0.244968943848561
51,0.11962032721489899,0.09416844516677737,0.2196754264617837,0.09023634638749722,0.21087932803172896,0.26542012673731386
53,0.11439494600354144,0.0987969177851715,0.2743672982953179,0.07314694012907076,0.19028659225121836,0.24900730553567993
55,0.09779029816271953,0.08852767321885621,0.268756896960035,0.06138090732695407,0.21406400451398705,0.26948021981744813
57,0.10443078409572777,0.08815633647346216,0.25868249428582785,0.07214092638795645,0.20870383324909172,0.26788562550793404
59,0.10752415665112809,0.08903424984740632,0.252176104881305,0.07462964727881194,0.20692195400784918,0.2697138873334994
61,0.1111648947475399,0.1023681674982088,0.25657303474906246,0.08007819971672604,0.1905782185007065,0.25923748478775616
63,0.11167895893642998,0.09965795718435363,0.26536601714156904,0.07421656420827634,0.18990784298686256,0.2591726595425085
65,0.11956659617931607,0.1009373026336302,0.27592260490026976,0.08693603347667786,0.18829842639062255,0.2283390364194835
67,0.11336507498729144,0.09073462745530773,0.2468622233404395,0.07923874325492433,0.20523310372322917,0.26456622723880785
69,0.10658666572358193,0.10502979155324631,0.3007676621471987,0.07617449946464784,0.18702556103443319,0.22441582007689215
71,0.11411757063173888,0.10009641244872293,0.2609851384017151,0.0871684997993518,0.19754135228317687,0.2400910264352943
73,0.11979812165714404,0.09956853745176882,0.26035909362876486,0.08189279028814175,0.19402310116705165,0.24435835580712892
75,0.10813559803744242,0.09949680091305059,0.25995652540011294,0.08984773618497777,0.19778182951213336,0.24478150995228287
77,0.11146263281903337,0.10563126996617639,0.30069251740528624,0.07166271948491867,0.18739700997505263,0.22315385034953278
79,0.1141984917662925,0.10517865705669796,0.27199533922475266,0.08090901318569349,0.18540242573638943,0.24231607303017388
81,0.11337666341862726,0.10605752512153276,0.27619573067259473,0.08476813970589323,0.18208596633680674,0.23751597474454528
83,0.10155207908508544,0.10264440740949443,0.26926110282764887,0.08505107309586535,0.19393617166076454,0.24755516592114124
85,0.10118712434247625,0.10228492703873181,0.2755534261183733,0.08905303869372024,0.19229730256839833,0.23962418123830023
87,0.1121433063985675,0.10495616538967877,0.272138723609947,0.08434827556320183,0.1866661756989094,0.23974735333969546
89,0.11117491050251779,0.10481699245835009,0.27946190153333483,0.08237314165596812,0.19018661400905076,0.23198643984077846
91,0.10714728571380558,0.10360392166693527,0.27948732136088256,0.089725311808598,0.18752210762162638,0.23251405182815232
93,0.11300296866792761,0.10560934731899245,0.27532247390380243,0.08509982647910816,0.18405207263665352,0.2369133109935158
95,0.10290948729767907,0.1008649252085716,0.2635131266722595,0.08685769483524326,0.18844730907673343,0.2574074569095131
97,0.10273285602054413,0.1021857403686745,0.28050706702856126,0.08746658089376408,0.18719579351463272,0.23991196217382327
99,0.11298743604939292,0.10473370952559204,0.27887172814579675,0.08660795072062928,0.18146507231743508,0.23533410324115403
101,0.11107821196957637,0.1037335567728373,0.26780997249985217,0.08636467859718178,0.1865684371926352,0.24444514296791717
103,0.10945408859193935,0.10027069846038766,0.2931130726575373,0.08055623704435524,0.18638511081478745,0.2302207924309929
105,0.10537788884370838,0.1023200677711529,0.26975416490541765,0.10214390752882738,0.19908770962641353,0.22131626132448
107,0.11147190044490893,0.10365900839921263,0.2779750157554233,0.08616822845203341,0.19139378448303832,0.22933206246538324
109,0.10669998381157517,0.10035890507183037,0.29743144768614144,0.08310266803552811,0.18330029132628206,0.22910670406864275
111,0.11910294666568937,0.10280703922974622,0.2970892415010896,0.0754908345174055,0.1777358971736068,0.2277740409124626
113,0.12005406719009232,0.10599485014100596,0.2931459070548079,0.08000534860024769,0.18195273620903893,0.21884709080480716
115,0.10265135180115877,0.09085749726645037,0.2992685820367617,0.09247042529917911,0.18132269713659566,0.23342944645985433
117,0.10189979930802287,0.09963541102042811,0.3077509938362313,0.07822438201789998,0.18649184105084718,0.2259975727665705
119,0.12052303428669744,0.10352883604577584,0.2826898706389263,0.08904831609683289,0.1889744917149988,0.21523545121676868
121,0.11244388988795376,0.1027669761987861,0.2779351755831112,0.08665455681892473,0.18741777596736653,0.23278162554385765
123,0.10622632944076403,0.10213663263473312,0.27718259211886664,0.08871888665135759,0.19260831098139644,0.23312724817288225
125,0.10773588768059353,0.10347299042516649,0.2700211421332447,0.0996449855321303,0.19790951524969316,0.22121547897917188
127,0.10998760028175265,0.10736981907825432,0.2812159720447183,0.09841150882485439,0.19333160724562345,0.20968349252479693
129,0.1058790008309684,0.10104135696432844,0.2937364346460191,0.08229059381159363,0.1913581312934302,0.22569448245366022
131,0.11076117704808189,0.10267747491019126,0.2832591598874706,0.09035699384469889,0.18692338599520375,0.22602180831435356
