branch,layer,ctype,r_obs,p_value,n_perm_used,p_adjusted,reject_H0
within_layer__clr_false__thickness_absolute,l6,L5/6 NP,-0.4679607178236511,0.6006655574043261,600,0.85683175100323,False
within_layer__clr_false__thickness_absolute,l6,L6 CT,-0.6331523735205236,0.800332778702163,600,0.9241938039774977,False
within_layer__clr_false__thickness_absolute,l6,L6 IT,-0.2884861761832201,0.800332778702163,600,0.9241938039774977,False
within_layer__clr_false__thickness_absolute,l6,L6 IT Car3,0.0011801223603891493,0.40099833610648916,600,0.8103508042151968,False
within_layer__clr_false__thickness_absolute,l6,L6b,-0.23196696589834842,0.6006655574043261,600,0.85683175100323,False
within_layer__clr_false__thickness_absolute,l6,Lamp5,0.6080880559818798,0.0016638935108153079,600,0.010087354409317803,True
within_layer__clr_false__thickness_absolute,l6,Lamp5_Lhx6,0.5893006221634498,0.0016638935108153079,600,0.010087354409317803,True
within_layer__clr_false__thickness_absolute,l6,Micro-PVM,0.7881092947121978,0.0016638935108153079,600,0.010087354409317803,True
within_layer__clr_false__thickness_absolute,l6,OPC,0.6827123149073949,0.0016638935108153079,600,0.010087354409317803,True
within_layer__clr_false__thickness_absolute,l6,Oligo,0.6015298371058003,0.0016638935108153079,600,0.010087354409317803,True
within_layer__clr_false__thickness_absolute,l6,Pvalb,0.4005000113911967,0.0016638935108153079,600,0.010087354409317803,True
within_layer__clr_false__thickness_absolute,l6,Sst,0.26032940634639107,0.20133111480865223,600,0.610284941763727,False
within_layer__clr_false__thickness_relative,l1,Astro,-0.04236956392714561,0.800332778702163,600,0.9133209356954096,False
within_layer__clr_false__thickness_relative,l1,Endo,-0.032266969963324975,0.6006655574043261,600,0.8827963495184793,False
within_layer__clr_false__thickness_relative,l1,Lamp5,0.1889718400210267,0.40099833610648916,600,0.793813032700601,False
within_layer__clr_false__thickness_relative,l1,Micro-PVM,0.026264700466365302,0.6006655574043261,600,0.8827963495184793,False
within_layer__clr_false__thickness_relative,l1,OPC,0.14156791220789616,0.40099833610648916,600,0.793813032700601,False
within_layer__clr_false__thickness_relative,l1,Pax6,-0.0807123416140349,0.800332778702163,600,0.9133209356954096,False
within_layer__clr_false__thickness_relative,l1,Sncg,0.5123154804499123,0.0016638935108153079,600,0.008966537252726937,True
within_layer__clr_false__thickness_relative,l1,VLMC,0.02303545187519182,0.40099833610648916,600,0.793813032700601,False
within_layer__clr_false__thickness_relative,l2,Astro,0.010449490741352279,0.6006655574043261,600,0.8827963495184793,False
within_layer__clr_false__thickness_relative,l2,Chandelier,-0.15693548897668866,0.6006655574043261,600,0.8827963495184793,False
within_layer__clr_false__thickness_relative,l2,Endo,-0.07949893235362215,0.6006655574043261,600,0.8827963495184793,False
within_layer__clr_false__thickness_relative,l2,L2/3 IT,-0.10908324813263207,0.40099833610648916,600,0.793813032700601,False
within_layer__clr_false__thickness_relative,l2,Lamp5,0.17637602443895714,0.40099833610648916,600,0.793813032700601,False
within_layer__clr_false__thickness_relative,l2,Lamp5_Lhx6,0.0757008843482668,0.6006655574043261,600,0.8827963495184793,False
within_layer__clr_false__thickness_relative,l2,Micro-PVM,-0.008563552407479948,0.6006655574043261,600,0.8827963495184793,False
within_layer__clr_false__thickness_relative,l2,OPC,0.051849552772997264,0.6006655574043261,600,0.8827963495184793,False
within_layer__clr_false__thickness_relative,l2,Pax6,0.2504588996101754,0.40099833610648916,600,0.793813032700601,False
within_layer__clr_false__thickness_relative,l2,Pvalb,-0.10048246974504134,0.6006655574043261,600,0.8827963495184793,False
within_layer__clr_false__thickness_relative,l2,Sncg,0.28667363937839213,0.40099833610648916,600,0.793813032700601,False
within_layer__clr_false__thickness_relative,l2,Sst,0.09023312230738786,0.6006655574043261,600,0.8827963495184793,False
within_layer__clr_false__thickness_relative,l2,Vip,0.18147777550648733,0.40099833610648916,600,0.793813032700601,False
within_layer__clr_false__thickness_relative,l3,Astro,-0.18972088763903447,0.800332778702163,600,0.9133209356954096,False
within_layer__clr_false__thickness_relative,l3,Chandelier,-0.21064195157176646,0.800332778702163,600,0.9133209356954096,False
within_layer__clr_false__thickness_relative,l3,Endo,0.14927424580457874,0.20133111480865223,600,0.5743858275423314,False
within_layer__clr_false__thickness_relative,l3,L2/3 IT,0.33610629835658695,0.20133111480865223,600,0.5743858275423314,False
within_layer__clr_false__thickness_relative,l3,L4 IT,-0.5508742794117798,1.0,600,1.0,False
within_layer__clr_false__thickness_relative,l3,L5 ET,0.08307552171020305,0.0016638935108153079,600,0.008966537252726937,True
within_layer__clr_false__thickness_relative,l3,L5 IT,-0.10119305955129598,0.800332778702163,600,0.9133209356954096,False
within_layer__clr_false__thickness_relative,l3,L5/6 NP,0.17882366833183483,0.20133111480865223,600,0.5743858275423314,False
within_layer__clr_false__thickness_relative,l3,L6 CT,0.1689731464141754,0.20133111480865223,600,0.5743858275423314,False
within_layer__clr_false__thickness_relative,l3,L6 IT,-0.12077337159617936,0.40099833610648916,600,0.793813032700601,False
within_layer__clr_false__thickness_relative,l3,L6 IT Car3,0.27134802964582355,0.0016638935108153079,600,0.008966537252726937,True
within_layer__clr_false__thickness_relative,l3,L6b,0.29959253313384376,0.0016638935108153079,600,0.008966537252726937,True
within_layer__clr_false__thickness_relative,l3,Lamp5,0.10061606901042563,0.6006655574043261,600,0.8827963495184793,False
within_layer__clr_false__thickness_relative,l3,Lamp5_Lhx6,0.25483260129347934,0.20133111480865223,600,0.5743858275423314,False
within_layer__clr_false__thickness_relative,l3,Micro-PVM,-0.12563161790834587,0.800332778702163,600,0.9133209356954096,False
within_layer__clr_false__thickness_relative,l3,OPC,-0.23420985358557778,0.800332778702163,600,0.9133209356954096,False
within_layer__clr_false__thickness_relative,l3,Oligo,-0.0012177774127760802,0.6006655574043261,600,0.8827963495184793,False
within_layer__clr_false__thickness_relative,l3,Pax6,-0.06693590627872821,0.800332778702163,600,0.9133209356954096,False
within_layer__clr_false__thickness_relative,l3,Pvalb,-0.20009262429304547,0.800332778702163,600,0.9133209356954096,False
within_layer__clr_false__thickness_relative,l3,Sncg,0.15096280210014776,0.800332778702163,600,0.9133209356954096,False
within_layer__clr_false__thickness_relative,l3,Sst,0.3848285032034874,0.20133111480865223,600,0.5743858275423314,False
within_layer__clr_false__thickness_relative,l3,Vip,0.3970842886399342,0.20133111480865223,600,0.5743858275423314,False
within_layer__clr_false__thickness_relative,l4,Astro,-0.5170245563218763,1.0,600,1.0,False
within_layer__clr_false__thickness_relative,l4,Chandelier,-0.41128054255045127,1.0,600,1.0,False
within_layer__clr_false__thickness_relative,l4,Endo,-0.12472222868959723,0.800332778702163,600,0.9133209356954096,False
within_layer__clr_false__thickness_relative,l4,L2/3 IT,0.3636710317907117,0.0016638935108153079,600,0.008966537252726937,True
within_layer__clr_false__thickness_relative,l4,L4 IT,0.14128424484348734,0.40099833610648916,600,0.793813032700601,False
within_layer__clr_false__thickness_relative,l4,L5 ET,-0.22544185407850012,0.800332778702163,600,0.9133209356954096,False
within_layer__clr_false__thickness_relative,l4,L5 IT,-0.48933758899356433,1.0,600,1.0,False
within_layer__clr_false__thickness_relative,l4,L5/6 NP,0.6593735865531382,0.0016638935108153079,600,0.008966537252726937,True
within_layer__clr_false__thickness_relative,l4,Lamp5,0.06977673918225366,0.6006655574043261,600,0.8827963495184793,False
within_layer__clr_false__thickness_relative,l4,Lamp5_Lhx6,0.6010867142049886,0.0016638935108153079,600,0.008966537252726937,True
within_layer__clr_false__thickness_relative,l4,Micro-PVM,-0.5225203642089311,1.0,600,1.0,False
within_layer__clr_false__thickness_relative,l4,OPC,-0.25038605782160966,0.800332778702163,600,0.9133209356954096,False
within_layer__clr_false__thickness_relative,l4,Oligo,0.32079753553799184,0.0016638935108153079,600,0.008966537252726937,True
within_layer__clr_false__thickness_relative,l4,Pax6,0.21388668614004422,0.0016638935108153079,600,0.008966537252726937,True
within_layer__clr_false__thickness_relative,l4,Pvalb,-0.25421837721914275,0.800332778702163,600,0.9133209356954096,False
within_layer__clr_false__thickness_relative,l4,Sncg,-0.3948846604004483,1.0,600,1.0,False
within_layer__clr_false__thickness_relative,l4,Sst,-0.5296864898883432,1.0,600,1.0,False
within_layer__clr_false__thickness_relative,l4,Vip,-0.3788565242217579,1.0,600,1.0,False
within_layer__clr_false__thickness_relative,l5,Astro,0.2813229821452061,0.20133111480865223,600,0.5743858275423314,False
within_layer__clr_false__thickness_relative,l5,Chandelier,0.4809611884298304,0.20133111480865223,600,0.5743858275423314,False
within_layer__clr_false__thickness_relative,l5,Endo,0.0021879022082748156,0.40099833610648916,600,0.793813032700601,False
within_layer__clr_false__thickness_relative,l5,L4 IT,0.21579932826717513,0.40099833610648916,600,0.793813032700601,False
within_layer__clr_false__thickness_relative,l5,L5 ET,0.42980349708740073,0.20133111480865223,600,0.5743858275423314,False
within_layer__clr_false__thickness_relative,l5,L5 IT,-0.3181078509231394,0.800332778702163,600,0.9133209356954096,False
within_layer__clr_false__thickness_relative,l5,L5/6 NP,-0.23607955884461773,0.800332778702163,600,0.9133209356954096,False
within_layer__clr_false__thickness_relative,l5,L6 CT,0.179611893183117,0.40099833610648916,600,0.793813032700601,False
within_layer__clr_false__thickness_relative,l5,L6 IT,-0.1585614492277635,0.800332778702163,600,0.9133209356954096,False
within_layer__clr_false__thickness_relative,l5,L6 IT Car3,-0.21710410812751132,1.0,600,1.0,False
within_layer__clr_false__thickness_relative,l5,L6b,-0.08518973203264063,0.40099833610648916,600,0.793813032700601,False
within_layer__clr_false__thickness_relative,l5,Lamp5,0.23936948918325004,0.20133111480865223,600,0.5743858275423314,False
within_layer__clr_false__thickness_relative,l5,Lamp5_Lhx6,-0.06022453950619892,0.6006655574043261,600,0.8827963495184793,False
within_layer__clr_false__thickness_relative,l5,Micro-PVM,0.34261630966934753,0.20133111480865223,600,0.5743858275423314,False
within_layer__clr_false__thickness_relative,l5,OPC,0.45202959990482766,0.20133111480865223,600,0.5743858275423314,False
within_layer__clr_false__thickness_relative,l5,Oligo,0.04439751757638706,0.6006655574043261,600,0.8827963495184793,False
within_layer__clr_false__thickness_relative,l5,Pvalb,0.2575696834836141,0.20133111480865223,600,0.5743858275423314,False
within_layer__clr_false__thickness_relative,l5,Sst,0.1477199766129606,0.6006655574043261,600,0.8827963495184793,False
within_layer__clr_false__thickness_relative,l5,Vip,0.42445443991316045,0.20133111480865223,600,0.5743858275423314,False
within_layer__clr_false__thickness_relative,l6,Astro,0.6961507506856089,0.0016638935108153079,600,0.008966537252726937,True
within_layer__clr_false__thickness_relative,l6,Chandelier,0.773715070386979,0.0016638935108153079,600,0.008966537252726937,True
within_layer__clr_false__thickness_relative,l6,Endo,0.4402603185222503,0.0016638935108153079,600,0.008966537252726937,True
within_layer__clr_false__thickness_relative,l6,L5 ET,-0.357025989375156,1.0,600,1.0,False
within_layer__clr_false__thickness_relative,l6,L5 IT,-0.7280857193051136,1.0,600,1.0,False
within_layer__clr_false__thickness_relative,l6,L5/6 NP,-0.15638612875035796,0.6006655574043261,600,0.8827963495184793,False
within_layer__clr_false__thickness_relative,l6,L6 CT,-0.6085113699831735,0.800332778702163,600,0.9133209356954096,False
within_layer__clr_false__thickness_relative,l6,L6 IT,-0.5536520429965046,1.0,600,1.0,False
within_layer__clr_false__thickness_relative,l6,L6 IT Car3,0.07454925967194533,0.40099833610648916,600,0.793813032700601,False
within_layer__clr_false__thickness_relative,l6,L6b,-0.08768007276908235,0.800332778702163,600,0.9133209356954096,False
within_layer__clr_false__thickness_relative,l6,Lamp5,0.6290853402153243,0.0016638935108153079,600,0.008966537252726937,True
within_layer__clr_false__thickness_relative,l6,Lamp5_Lhx6,0.6450398414295981,0.0016638935108153079,600,0.008966537252726937,True
within_layer__clr_false__thickness_relative,l6,Micro-PVM,0.7240542935458703,0.0016638935108153079,600,0.008966537252726937,True
within_layer__clr_false__thickness_relative,l6,OPC,0.7669530515228437,0.0016638935108153079,600,0.008966537252726937,True
within_layer__clr_false__thickness_relative,l6,Oligo,0.47158209527204076,0.0016638935108153079,600,0.008966537252726937,True
within_layer__clr_false__thickness_relative,l6,Pvalb,0.46323588266264243,0.0016638935108153079,600,0.008966537252726937,True
within_layer__clr_false__thickness_relative,l6,Sst,0.3925673519320251,0.20133111480865223,600,0.5743858275423314,False
within_layer__clr_true__thickness_absolute,l1,Astro,-0.4613513993887187,1.0,600,1.0,False
within_layer__clr_true__thickness_absolute,l1,Endo,0.18226279775141047,0.20133111480865223,600,0.5579748038982648,False
within_layer__clr_true__thickness_absolute,l1,Lamp5,-0.17731744335965952,0.800332778702163,600,0.9826870827102508,False
within_layer__clr_true__thickness_absolute,l1,Micro-PVM,0.5061504155192812,0.20133111480865223,600,0.5579748038982648,False
within_layer__clr_true__thickness_absolute,l1,OPC,-0.346894979205608,0.800332778702163,600,0.9826870827102508,False
within_layer__clr_true__thickness_absolute,l1,Pax6,-0.3460667764550357,1.0,600,1.0,False
within_layer__clr_true__thickness_absolute,l1,Sncg,0.27738211257494544,0.0016638935108153079,600,0.010087354409317803,True
