layer,layer_label,ctype,class,mean_abs_shap,mean_signed_shap,relative_contribution,n_roi,rank
l3,Layer III,L5/6 NP,Excitatory,0.002945071394398946,-5.575805946061648e-05,0.048237822498291706,105,11
l3,Layer III,Oligo,Non-neuron,0.002585153303396835,-1.8712145359161583e-05,0.04234266320921541,105,12
l3,Layer III,L5 IT,Excitatory,0.0025678434627095584,3.4677056132470674e-05,0.042059142400811725,105,13
l3,Layer III,Lamp5_Lhx6,Inhibitory,0.0024055825462497467,0.00016226364775235965,0.03940144340530199,105,14
l3,Layer III,Chandelier,Inhibitory,0.0023123699298518226,5.496674532151919e-05,0.03787469819533669,105,15
l3,Layer III,Vip,Inhibitory,0.0015419136501175319,-9.347577544040882e-05,0.02525526447457901,105,16
l3,Layer III,Micro-PVM,Non-neuron,0.0011820720970495287,6.413268291897718e-05,0.01936135881327109,105,17
l3,Layer III,L2/3 IT,Excitatory,0.001134285015167466,-7.002291881256314e-05,0.018578646116416856,105,18
l3,Layer III,Endo,Non-neuron,0.0010402761522522671,-2.309106919829358e-05,0.01703885905006796,105,19
l3,Layer III,Astro,Non-neuron,0.0010125791192833228,-4.8835382561192105e-05,0.01658520466239294,105,20
l3,Layer III,OPC,Non-neuron,0.0009203657014624836,-0.00011157920387307672,0.015074825494926178,105,21
l3,Layer III,Lamp5,Inhibitory,0.0007992923135543375,0.00026965938004352194,0.013091743996023532,105,22
l4,Layer IV,Oligo,Non-neuron,0.009263611097071883,0.0016887262492823606,0.1328020490369325,105,1
l4,Layer IV,Pax6,Inhibitory,0.007161901414517733,0.0013592843868212145,0.1026721839768399,105,2
l4,Layer IV,Chandelier,Inhibitory,0.0070305868608292075,0.0009695143664467423,0.1007896738395438,105,3
l4,Layer IV,Micro-PVM,Non-neuron,0.00603803131277382,-7.487963417407625e-05,0.08656051318248689,105,4
l4,Layer IV,Vip,Inhibitory,0.004813511266845105,-0.000819915896342371,0.06900593651879969,105,5
l4,Layer IV,OPC,Non-neuron,0.004811592647362283,-0.0012173405036250843,0.06897843141350424,105,6
l4,Layer IV,L5 IT,Excitatory,0.004104998318620413,0.0006048006774102628,0.058848777468461476,105,7
l4,Layer IV,Lamp5_Lhx6,Inhibitory,0.003797620282935064,0.0007716585097029391,0.05444224177301712,105,8
l4,Layer IV,L5 ET,Excitatory,0.0037691926951832337,-0.0004032716479662868,0.054034707188171084,105,9
