phenotype,outcome,feature,pearson_r,spin_p,spin_q_bh,n_valid_spins
meg,gamma2,Oligo,-0.36810028186049315,0.34065934065934067,0.7965367965367967,1000
meg,gamma2,Pax6,0.22849567392074863,0.3986013986013986,0.7965367965367967,1000
meg,gamma2,Pvalb,-0.3598817171790288,0.3046953046953047,0.7965367965367967,1000
meg,gamma2,Sncg,0.5490877591654094,0.21578421578421578,0.7965367965367967,1000
meg,gamma2,Sst,0.3607513733855859,0.15184815184815184,0.7965367965367967,1000
meg,gamma2,VLMC,0.24016689155583912,0.4155844155844156,0.7965367965367967,1000
meg,gamma2,Vip,0.3841175677047992,0.08491508491508491,0.7965367965367967,1000
enigma,22q,Astro,0.1589532382134671,0.6223776223776224,0.8206079634651064,1000
enigma,22q,Chandelier,0.17974987894354885,0.6403596403596403,0.8206079634651064,1000
enigma,22q,Endo,0.07464977233927714,0.7332667332667333,0.8206079634651064,1000
enigma,22q,L2/3 IT,-0.09510991304216164,0.7172827172827173,0.8206079634651064,1000
enigma,22q,L4 IT,-0.15604707385868208,0.6463536463536463,0.8206079634651064,1000
enigma,22q,L5 ET,0.37753807717645543,0.25274725274725274,0.8206079634651064,1000
enigma,22q,L5 IT,-0.43058990393305846,0.03596403596403597,0.8206079634651064,1000
enigma,22q,L5/6 NP,0.17063441409596947,0.44955044955044954,0.8206079634651064,1000
enigma,22q,L6 CT,0.3080190668165529,0.25274725274725274,0.8206079634651064,1000
enigma,22q,L6 IT,0.09417661849692975,0.7112887112887113,0.8206079634651064,1000
enigma,22q,L6 IT Car3,0.04120490329885295,0.8791208791208791,0.8791208791208791,1000
enigma,22q,L6b,0.09547273154700409,0.6913086913086913,0.8206079634651064,1000
enigma,22q,Lamp5,0.21338150380370263,0.5574425574425574,0.8206079634651064,1000
enigma,22q,Lamp5_Lhx6,0.16041347881506146,0.6603396603396603,0.8206079634651064,1000
enigma,22q,Micro-PVM,0.12678013023157894,0.7492507492507493,0.8206079634651064,1000
enigma,22q,OPC,0.14333642814796058,0.6983016983016983,0.8206079634651064,1000
enigma,22q,Oligo,0.20863128664507224,0.4405594405594406,0.8206079634651064,1000
enigma,22q,Pax6,-0.1687152564013927,0.4385614385614386,0.8206079634651064,1000
enigma,22q,Pvalb,0.07063306841337257,0.7882117882117882,0.8240395967668694,1000
enigma,22q,Sncg,0.16818823777518,0.6433566433566433,0.8206079634651064,1000
enigma,22q,Sst,-0.27313741932952956,0.21978021978021978,0.8206079634651064,1000
enigma,22q,VLMC,-0.0870740582186424,0.6873126873126874,0.8206079634651064,1000
enigma,22q,Vip,-0.3265864681859531,0.11988011988011989,0.8206079634651064,1000
enigma,adhd,Astro,-0.7373317825496891,0.000999000999000999,0.007659007659007659,1000
enigma,adhd,Chandelier,-0.7453107706027743,0.005994005994005994,0.017232767232767232,1000
enigma,adhd,Endo,-0.586939193413622,0.012987012987012988,0.03318903318903319,1000
enigma,adhd,L2/3 IT,0.6792747401322469,0.004995004995004995,0.017232767232767232,1000
enigma,adhd,L4 IT,0.6050193706801326,0.03496503496503497,0.07310870947234584,1000
enigma,adhd,L5 ET,-0.5530939523035873,0.15884115884115885,0.22833416583416585,1000
enigma,adhd,L5 IT,0.1075515972596526,0.6843156843156843,0.7300426845881391,1000
enigma,adhd,L5/6 NP,0.30301698938310107,0.24475524475524477,0.28491508491508494,1000
enigma,adhd,L6 CT,-0.5199583928679113,0.06293706293706294,0.1033966033966034,1000
enigma,adhd,L6 IT,-0.4764661103878615,0.059940059940059943,0.1033966033966034,1000
enigma,adhd,L6 IT Car3,-0.06362118095450904,0.8381618381618382,0.8381618381618382,1000
enigma,adhd,L6b,-0.36639220950086626,0.20679320679320679,0.2642357642357642,1000
enigma,adhd,Lamp5,-0.7778493905469169,0.003996003996003996,0.017232767232767232,1000
enigma,adhd,Lamp5_Lhx6,-0.39932417833239753,0.24775224775224775,0.28491508491508494,1000
enigma,adhd,Micro-PVM,-0.7665127217764114,0.001998001998001998,0.011488511488511488,1000
enigma,adhd,OPC,-0.8440602489011534,0.000999000999000999,0.007659007659007659,1000
enigma,adhd,Oligo,-0.13843508147574135,0.6983016983016983,0.7300426845881391,1000
enigma,adhd,Pax6,-0.6642004328913067,0.000999000999000999,0.007659007659007659,1000
enigma,adhd,Pvalb,-0.4108464891261043,0.2017982017982018,0.2642357642357642,1000
enigma,adhd,Sncg,-0.7058790591452463,0.005994005994005994,0.017232767232767232,1000
enigma,adhd,Sst,-0.3867847529953445,0.13886113886113885,0.2129204129204129,1000
enigma,adhd,VLMC,-0.4646651450538668,0.025974025974025976,0.059740259740259746,1000
enigma,adhd,Vip,-0.43290087836234975,0.056943056943056944,0.1033966033966034,1000
enigma,asd,Astro,0.3000174668333389,0.5074925074925075,0.6444507873079302,1000
enigma,asd,Chandelier,0.3211335231833157,0.5524475524475524,0.6444507873079302,1000
enigma,asd,Endo,0.3270069551524186,0.2757242757242757,0.5848696757787667,1000
enigma,asd,L2/3 IT,-0.41986109480716133,0.1888111888111888,0.5428321678321678,1000
enigma,asd,L4 IT,-0.43328547144775326,0.30569430569430567,0.5859140859140859,1000
enigma,asd,L5 ET,0.7104870057462279,0.04195804195804196,0.3216783216783217,1000
enigma,asd,L5 IT,-0.33811681475517325,0.24875124875124874,0.5848696757787667,1000
enigma,asd,L5/6 NP,0.3750863398898992,0.16183816183816183,0.5317539603253888,1000
enigma,asd,L6 CT,0.6927092665698295,0.001998001998001998,0.04595404595404595,1000
enigma,asd,L6 IT,0.44176455754836436,0.11888111888111888,0.5317539603253888,1000
enigma,asd,L6 IT Car3,-0.2650835099982825,0.4595404595404595,0.6444507873079302,1000
enigma,asd,L6b,0.49331036900964964,0.06793206793206794,0.39060939060939065,1000
enigma,asd,Lamp5,0.5057966553373284,0.27972027972027974,0.5848696757787667,1000
enigma,asd,Lamp5_Lhx6,0.6604759036736235,0.02097902097902098,0.24125874125874128,1000
enigma,asd,Micro-PVM,0.2795119068952649,0.5884115884115884,0.6444507873079302,1000
enigma,asd,OPC,0.2721726151609696,0.5654345654345654,0.6444507873079302,1000
enigma,asd,Oligo,0.27771262568052335,0.4835164835164835,0.6444507873079302,1000
enigma,asd,Pax6,0.03296689299850764,0.9170829170829171,0.9170829170829171,1000
enigma,asd,Pvalb,0.2947545356921114,0.42157842157842157,0.6444507873079302,1000
enigma,asd,Sncg,0.3655001158618557,0.43956043956043955,0.6444507873079302,1000
enigma,asd,Sst,-0.26670440797162354,0.4205794205794206,0.6444507873079302,1000
enigma,asd,VLMC,-0.04783811013295465,0.8651348651348651,0.9044591771864499,1000
enigma,asd,Vip,-0.3638113341447534,0.15684315684315683,0.5317539603253888,1000
enigma,epilepsy_gge,Astro,-0.15659684558934386,0.6503496503496503,0.8793933339387885,1000
enigma,epilepsy_gge,Chandelier,0.10889202037251107,0.8211788211788211,0.8793933339387885,1000
enigma,epilepsy_gge,Endo,-0.11462747691744395,0.6203796203796204,0.8793933339387885,1000
enigma,epilepsy_gge,L2/3 IT,-0.23566762318120402,0.38161838161838163,0.8793933339387885,1000
enigma,epilepsy_gge,L4 IT,0.21850987796403,0.5654345654345654,0.8793933339387885,1000
enigma,epilepsy_gge,L5 ET,-0.22141457250529448,0.6553446553446554,0.8793933339387885,1000
enigma,epilepsy_gge,L5 IT,0.45821044900321645,0.023976023976023976,0.1838161838161838,1000
enigma,epilepsy_gge,L5/6 NP,0.33065286074038175,0.11988011988011989,0.5361305361305362,1000
enigma,epilepsy_gge,L6 CT,0.15029308587020287,0.6613386613386614,0.8793933339387885,1000
enigma,epilepsy_gge,L6 IT,0.11031507611254698,0.7222777222777222,0.8793933339387885,1000
enigma,epilepsy_gge,L6 IT Car3,0.23391116519999405,0.3806193806193806,0.8793933339387885,1000
enigma,epilepsy_gge,L6b,0.4975289275113921,0.014985014985014986,0.17232767232767235,1000
enigma,epilepsy_gge,Lamp5,-0.06999462339086555,0.8411588411588412,0.8793933339387885,1000
enigma,epilepsy_gge,Lamp5_Lhx6,0.09514598342048196,0.8261738261738262,0.8793933339387885,1000
enigma,epilepsy_gge,Micro-PVM,0.23853318641349,0.5844155844155844,0.8793933339387885,1000
enigma,epilepsy_gge,OPC,0.0317883181373298,0.9280719280719281,0.9280719280719281,1000
enigma,epilepsy_gge,Oligo,-0.6146852100748452,0.004995004995004995,0.1148851148851149,1000
enigma,epilepsy_gge,Pax6,0.13161481781709808,0.5154845154845155,0.8793933339387885,1000
enigma,epilepsy_gge,Pvalb,-0.39898278971379536,0.12087912087912088,0.5361305361305362,1000
enigma,epilepsy_gge,Sncg,0.35562085434737517,0.27972027972027974,0.8793933339387885,1000
enigma,epilepsy_gge,Sst,0.321548106659927,0.13986013986013987,0.5361305361305362,1000
enigma,epilepsy_gge,VLMC,0.05680854361932448,0.8171828171828172,0.8793933339387885,1000
enigma,epilepsy_gge,Vip,0.09773868951133273,0.6423576423576424,0.8793933339387885,1000
enigma,epilepsy_rtle,Astro,-0.07952685241346352,0.8581418581418582,0.8581418581418582,1000
enigma,epilepsy_rtle,Chandelier,0.3466332962238069,0.5364635364635365,0.8581418581418582,1000
enigma,epilepsy_rtle,Endo,-0.15150657562076728,0.6743256743256744,0.8581418581418582,1000
enigma,epilepsy_rtle,L2/3 IT,-0.13511434581714052,0.7302697302697303,0.8581418581418582,1000
enigma,epilepsy_rtle,L4 IT,0.31543328744338395,0.5204795204795205,0.8581418581418582,1000
enigma,epilepsy_rtle,L5 ET,-0.502929356381744,0.34565434565434566,0.8581418581418582,1000
enigma,epilepsy_rtle,L5 IT,0.4312666794098117,0.1028971028971029,0.47332667332667333,1000
enigma,epilepsy_rtle,L5/6 NP,-0.06475759869564561,0.8391608391608392,0.8581418581418582,1000
enigma,epilepsy_rtle,L6 CT,-0.10471008927630694,0.8141858141858141,0.8581418581418582,1000
enigma,epilepsy_rtle,L6 IT,-0.12458323272190472,0.7482517482517482,0.8581418581418582,1000
enigma,epilepsy_rtle,L6 IT Car3,0.42252676197710565,0.1848151848151848,0.7084582084582084,1000
enigma,epilepsy_rtle,L6b,0.2702426757687592,0.3856143856143856,0.8581418581418582,1000
enigma,epilepsy_rtle,Lamp5,-0.10491870988504451,0.8521478521478522,0.8581418581418582,1000
enigma,epilepsy_rtle,Lamp5_Lhx6,-0.2243885366546971,0.6513486513486514,0.8581418581418582,1000
enigma,epilepsy_rtle,Micro-PVM,0.419168896787388,0.43156843156843155,0.8581418581418582,1000
enigma,epilepsy_rtle,OPC,0.26666537545407926,0.6133866133866134,0.8581418581418582,1000
enigma,epilepsy_rtle,Oligo,-0.669553536718248,0.00999000999000999,0.1838161838161838,1000
enigma,epilepsy_rtle,Pax6,0.2273927310257988,0.4155844155844156,0.8581418581418582,1000
enigma,epilepsy_rtle,Pvalb,-0.5441705086412937,0.08491508491508491,0.47332667332667333,1000
enigma,epilepsy_rtle,Sncg,0.42094699627437404,0.3906093906093906,0.8581418581418582,1000
enigma,epilepsy_rtle,Sst,0.5456752134095938,0.015984015984015984,0.1838161838161838,1000
enigma,epilepsy_rtle,VLMC,0.15973631235422753,0.6043956043956044,0.8581418581418582,1000
enigma,epilepsy_rtle,Vip,0.4173518231366089,0.057942057942057944,0.4442224442224442,1000
enigma,epilepsy_ltle,Astro,0.048252216755432564,0.903096903096903,0.9472799927345381,1000
enigma,epilepsy_ltle,Chandelier,0.26071324438320875,0.5284715284715285,0.8501498501498501,1000
enigma,epilepsy_ltle,Endo,-0.04846267175293294,0.8701298701298701,0.9472799927345381,1000
enigma,epilepsy_ltle,L2/3 IT,-0.34516240734676634,0.22477522477522477,0.6462287712287712,1000
enigma,epilepsy_ltle,L4 IT,0.13575227609954674,0.7302697302697303,0.9472799927345381,1000
