layer,layer_label,ctype,fold_mean_relative,fold_sd_relative,fold_min_relative,fold_max_relative
l4,Layer IV,L2/3 IT,0.014941698481353256,0.008962822372764629,0.00533499639194082,0.029219665622431695
l4,Layer IV,L4 IT,0.0436804217039022,0.011630888849474903,0.031333683258106655,0.058791270984518154
l4,Layer IV,L5 ET,0.048539104434266636,0.01947728421552874,0.026207192099937236,0.07376157582595136
l4,Layer IV,L5 IT,0.07162791343798484,0.03336971177040632,0.015082375778429344,0.10233749395408952
l4,Layer IV,L5/6 NP,0.052353548312662576,0.014553247373992046,0.027080834364952178,0.06212557047961781
l4,Layer IV,Lamp5,0.0530354841757245,0.02887375689429461,0.008100234373419576,0.08821400119451586
l4,Layer IV,Lamp5_Lhx6,0.05400436227483291,0.015257885939147899,0.034013605745190384,0.06978107086462144
l4,Layer IV,Micro-PVM,0.09160258042458971,0.03172992260048665,0.06377383155642272,0.14531945618300937
l4,Layer IV,OPC,0.061352040795827345,0.023101611076262674,0.03922915721505693,0.09911398194704962
l4,Layer IV,Oligo,0.11771028061450384,0.03609471753669599,0.0830273298652776,0.1694683724915478
l4,Layer IV,Pax6,0.10028623023539737,0.03464115459610111,0.06727258081218378,0.1381088803018544
l4,Layer IV,Pvalb,0.009886264805868858,0.0054885946223816266,0.0026844077117431538,0.01616568794344902
l4,Layer IV,Sncg,0.03760790535963985,0.013178337492806858,0.02851812571943833,0.05955747901556448
l4,Layer IV,Sst,0.04580301274014535,0.01906529039690275,0.01685637880970422,0.06367842375071561
l4,Layer IV,Vip,0.05832360501148335,0.03474835958086344,0.013777398045034637,0.09889587142300343
l5,Layer V,Astro,0.015858311247230392,0.01411414618119547,0.0006732501527502841,0.03308138887852854
l5,Layer V,Chandelier,0.18438890282067422,0.021955442252950225,0.15374201940432733,0.21249902422504657
l5,Layer V,Endo,0.04485423208512878,0.015227089313295953,0.028611543806040703,0.06470141263183646
l5,Layer V,L4 IT,0.04454783513283325,0.012730996797703932,0.030107712570953002,0.05862968486972308
l5,Layer V,L5 ET,0.016138688701452825,0.02044304155506137,0.0033227432841702875,0.0521003536930332
l5,Layer V,L5 IT,0.026701515546594952,0.023926482351143582,0.009926542415081025,0.06823629245960025
l5,Layer V,L5/6 NP,0.08001117532174484,0.007663242800915516,0.06809941695347216,0.08904104877764732
l5,Layer V,L6 CT,0.09657705305585419,0.018185594524298944,0.07326188453906035,0.12232330741704298
l5,Layer V,L6 IT,0.05745266190700478,0.02220627513061468,0.031311633026748165,0.0809956836021738
l5,Layer V,L6 IT Car3,0.012025386458710922,0.0050309919182093,0.004736587658138655,0.018236035695754587
l5,Layer V,L6b,0.023492549679852464,0.016765969509275277,0.002001131068710672,0.047721607634154714
l5,Layer V,Lamp5,0.021928260859318066,0.005934646745566186,0.012862555018376834,0.02946819467835479
l5,Layer V,Lamp5_Lhx6,0.06992007062870198,0.03995836605075952,0.013813864070518678,0.11670889932901844
l5,Layer V,Micro-PVM,0.012202485975102368,0.011555011567244528,0.0005297416339575828,0.030334663377633797
l5,Layer V,OPC,0.060151992538388564,0.01618660424461533,0.04485092504543585,0.08517990315938505
l5,Layer V,Oligo,0.010367172417332426,0.002526544020724312,0.007218074033698034,0.013467163824553608
l5,Layer V,Pvalb,0.10406044691323582,0.01835788335350479,0.08327564660031743,0.1259305255432955
l5,Layer V,Sst,0.08150474348929071,0.022657166842582743,0.05277163033826189,0.10791774224752067
l5,Layer V,Vip,0.03781651522154837,0.02252923850593901,0.0005671700129551479,0.05607933272543732
l6,Layer VI,Astro,0.12330757135631851,0.041648306730232725,0.07924288692248407,0.18456516675169196
l6,Layer VI,Chandelier,0.04392736933010177,0.025053562580294043,0.016202646155930683,0.06983331438466707
l6,Layer VI,Endo,0.04710183701798888,0.01468997822735014,0.029275585426994856,0.06443339840373354
l6,Layer VI,L5 ET,0.0752410681436083,0.02389791934174752,0.04539506797723184,0.1100302030028874
l6,Layer VI,L5 IT,0.08039429814300449,0.0269728878346697,0.046884148989017924,0.10958911394886295
l6,Layer VI,L5/6 NP,0.06484932804551671,0.013450498221967958,0.04755742029277955,0.0837956886051024
l6,Layer VI,L6 CT,0.05725144130152969,0.015189968336933132,0.038852487427415795,0.08096575513058565
l6,Layer VI,L6 IT,0.018133087046257646,0.005775034613912146,0.013561576631217959,0.02554916965175301
l6,Layer VI,L6 IT Car3,0.03459956499033885,0.013516589637094895,0.01606705989487246,0.05291027779296264
l6,Layer VI,L6b,0.027643733606063127,0.014992340681200006,0.009796864174268914,0.04374195173647451
l6,Layer VI,Lamp5,0.09183283223390742,0.028159785753920318,0.07048093855042978,0.14131170356921618
l6,Layer VI,Lamp5_Lhx6,0.10270089436821003,0.023055604959064207,0.08063247421902098,0.13252599151736744
l6,Layer VI,Micro-PVM,0.1252583696957868,0.03746817902889915,0.0677874826176148,0.1703921757321271
l6,Layer VI,OPC,0.023092104894435826,0.011855117177052888,0.013023261149402526,0.04342909273981428
l6,Layer VI,Oligo,0.018006695285322942,0.010016747020464305,0.00929386048999126,0.03213895394024726
l6,Layer VI,Pvalb,0.036288635196618645,0.01861946586661699,0.01597953288119318,0.06678780558669595
l6,Layer VI,Sst,0.030371169344990318,0.0395423306498563,0.004551275563590624,0.09751185774056864
