layer,layer_label,fold,ctype,mean_abs_shap,relative_contribution
l3,Layer III,2,L6b,0.0027285671552354854,0.05969993690151778
l3,Layer III,2,Lamp5,0.0005867184376510025,0.012837160206782224
l3,Layer III,2,Lamp5_Lhx6,0.0013891221910439938,0.030393427185656845
l3,Layer III,2,Micro-PVM,0.0005088096818349801,0.011132548393447218
l3,Layer III,2,OPC,0.0002913894969769991,0.006375483392414624
l3,Layer III,2,Oligo,0.0015109580648406703,0.03305914643102947
l3,Layer III,2,Pax6,0.004141787525875673,0.09062062243175073
l3,Layer III,2,Pvalb,0.004470127024658774,0.0978045567989206
l3,Layer III,2,Sncg,0.0014939918401168592,0.0326879323513155
l3,Layer III,2,Sst,0.0034258180306490837,0.07495550178173323
l3,Layer III,2,Vip,0.001389736107357468,0.030406859424297883
l3,Layer III,3,Astro,0.00048342272704829934,0.009974078669012879
l3,Layer III,3,Chandelier,0.0020022994321640467,0.04131186007175182
l3,Layer III,3,Endo,0.00071186737130058,0.01468739628070071
l3,Layer III,3,L2/3 IT,0.0009063820539407409,0.018700663838014372
l3,Layer III,3,L4 IT,0.0022470787620989014,0.046362198329999604
l3,Layer III,3,L5 ET,0.0033191670654659135,0.06848174811451514
l3,Layer III,3,L5 IT,0.002605556364801131,0.053758383098271675
l3,Layer III,3,L5/6 NP,0.003755176763005288,0.07747759125632038
l3,Layer III,3,L6 CT,0.0009283780048909868,0.019154488891952273
l3,Layer III,3,L6 IT,0.0018984168422458067,0.03916853278031108
l3,Layer III,3,L6 IT Car3,0.005286739163224416,0.10907710656988473
l3,Layer III,3,L6b,0.002743564029620465,0.05660578606221481
l3,Layer III,3,Lamp5,0.0002472999733582555,0.005102344699804711
l3,Layer III,3,Lamp5_Lhx6,0.003397489986448994,0.0700977229782581
l3,Layer III,3,Micro-PVM,0.0008840226806201434,0.018239340577829326
l3,Layer III,3,OPC,0.00098654752374896,0.02035465455394045
l3,Layer III,3,Oligo,0.0020782184092363355,0.042878236262655106
l3,Layer III,3,Pax6,0.003668187392372413,0.0756828083933841
l3,Layer III,3,Pvalb,0.003658942613239412,0.07549206817950709
l3,Layer III,3,Sncg,0.0023373464763451284,0.04822462066306027
l3,Layer III,3,Sst,0.002669243987356193,0.055072399428213736
l3,Layer III,3,Vip,0.0016525603507804906,0.03409597030039781
l3,Layer III,4,Astro,0.0013109547167882046,0.017553305007730263
l3,Layer III,4,Chandelier,0.002626787078475633,0.035171920271824864
l3,Layer III,4,Endo,0.0019187564861495733,0.02569159514484251
l3,Layer III,4,L2/3 IT,0.0014326811930718173,0.019183187366258517
l3,Layer III,4,L4 IT,0.0030086063395516715,0.0402843698947333
l3,Layer III,4,L5 ET,0.003697750370027667,0.049511809413649986
l3,Layer III,4,L5 IT,0.0022446867412114747,0.030055707119942238
l3,Layer III,4,L5/6 NP,0.003154972317273314,0.042244168060757765
l3,Layer III,4,L6 CT,0.005461662197061757,0.0731300792975474
l3,Layer III,4,L6 IT,0.006030415644147267,0.08074552367792172
l3,Layer III,4,L6 IT Car3,0.004569259730648466,0.061181068029651724
l3,Layer III,4,L6b,0.004521434295009605,0.06054069926012379
l3,Layer III,4,Lamp5,0.0005849564755128477,0.007832398251008985
l3,Layer III,4,Lamp5_Lhx6,0.0033193649291657487,0.044445337651599956
l3,Layer III,4,Micro-PVM,0.0013083495266333004,0.017518422264027105
l3,Layer III,4,OPC,0.0006535357141903957,0.008750654448792982
l3,Layer III,4,Oligo,0.0035750304824634085,0.04786862556500618
l3,Layer III,4,Pax6,0.004840514603973497,0.06481309243547774
l3,Layer III,4,Pvalb,0.007975090277286228,0.10678415532487509
l3,Layer III,4,Sncg,0.005778981261737525,0.077378889920593
l3,Layer III,4,Sst,0.00519292101380698,0.06953171247571954
l3,Layer III,4,Vip,0.0014774985714512,0.019783279117915303
l3,Layer III,5,Astro,0.0009419796141957769,0.011608779421023948
l3,Layer III,5,Chandelier,0.0004751636355674581,0.0058558271867739115
l3,Layer III,5,Endo,0.0011460285608770181,0.014123440224099983
l3,Layer III,5,L2/3 IT,0.002493545356338261,0.030729983517491722
l3,Layer III,5,L4 IT,0.004470739603564568,0.0550965531785176
l3,Layer III,5,L5 ET,0.006857911100773026,0.08451560528285423
l3,Layer III,5,L5 IT,0.002577108752620092,0.03175980308098152
l3,Layer III,5,L5/6 NP,0.0028931216600964794,0.03565428665770082
l3,Layer III,5,L6 CT,0.005208167572370732,0.06418447663222547
l3,Layer III,5,L6 IT,0.005834843783721279,0.07190751627802772
l3,Layer III,5,L6 IT Car3,0.00445724812493693,0.0549302867359201
l3,Layer III,5,L6b,0.0060949972981133175,0.07511359921089432
l3,Layer III,5,Lamp5,0.0022671895281747715,0.027940416906693476
l3,Layer III,5,Lamp5_Lhx6,0.0013542656967911303,0.01668971548278121
l3,Layer III,5,Micro-PVM,0.0028715570941979297,0.03538852900747807
l3,Layer III,5,OPC,0.0012655836153097622,0.015596814206575346
l3,Layer III,5,Oligo,0.0032534358040591693,0.040094730332385906
l3,Layer III,5,Pax6,0.006384930326846357,0.07868667927197909
l3,Layer III,5,Pvalb,0.005762462575761884,0.07101550389817886
l3,Layer III,5,Sncg,0.008017469062390583,0.09880577929453162
l3,Layer III,5,Sst,0.005900101364727805,0.0727117384204582
l3,Layer III,5,Vip,0.0006158756671466501,0.00758993577242691
l4,Layer IV,1,Astro,0.0009103551751507932,0.033380144433531975
l4,Layer IV,1,Chandelier,0.00021060105862935323,0.007722144001365291
l4,Layer IV,1,Endo,0.0013287444491877885,0.0487212934465885
l4,Layer IV,1,L2/3 IT,0.0007968891167779116,0.029219665622431695
l4,Layer IV,1,L4 IT,0.0014449725501292584,0.05298304853137588
l4,Layer IV,1,L5 ET,0.0007147318670791153,0.026207192099937236
l4,Layer IV,1,L5 IT,0.002316718477845374,0.08494750127553395
l4,Layer IV,1,L5/6 NP,0.0016943106614752043,0.06212557047961781
l4,Layer IV,1,Lamp5,0.0024058036258079946,0.08821400119451586
l4,Layer IV,1,Lamp5_Lhx6,0.001903094191688334,0.06978107086462144
l4,Layer IV,1,Micro-PVM,0.002470318204876384,0.09057956798224204
l4,Layer IV,1,OPC,0.0017923173983187238,0.06571919978013115
l4,Layer IV,1,Oligo,0.0022643508799764004,0.0830273298652776
l4,Layer IV,1,Pax6,0.0037665545206801015,0.1381088803018544
l4,Layer IV,1,Pvalb,0.00020779860394414858,0.007619385929885042
l4,Layer IV,1,Sncg,0.0016242727573787493,0.05955747901556448
l4,Layer IV,1,Sst,0.0010447801449210796,0.038309127130490964
l4,Layer IV,1,Vip,0.0003757421012777383,0.013777398045034637
l4,Layer IV,2,Astro,0.0027197097254453165,0.05633655295829584
l4,Layer IV,2,Chandelier,0.006552160468020379,0.13572262206675126
l4,Layer IV,2,Endo,8.819537099675046e-05,0.001826894665393541
l4,Layer IV,2,L2/3 IT,0.0002575528819293958,0.00533499639194082
l4,Layer IV,2,L4 IT,0.0015126683940740984,0.031333683258106655
l4,Layer IV,2,L5 ET,0.0015635023627081667,0.03238666716269031
l4,Layer IV,2,L5 IT,0.004019863307091117,0.08326816643933141
l4,Layer IV,2,L5/6 NP,0.0028286931228828647,0.05859405451586008
l4,Layer IV,2,Lamp5,0.0029452358657258127,0.06100814170415433
l4,Layer IV,2,Lamp5_Lhx6,0.0026682728554417267,0.055271080447073434
l4,Layer IV,2,Micro-PVM,0.004079804554096199,0.08450980013453584
l4,Layer IV,2,OPC,0.0018938311770298458,0.03922915721505693
l4,Layer IV,2,Oligo,0.004803196553146329,0.0994942711914323
l4,Layer IV,2,Pax6,0.004330776287621017,0.08970847344311518
l4,Layer IV,2,Pvalb,0.0007029579241122257,0.014561195979367897
l4,Layer IV,2,Sncg,0.0013912180216268794,0.028817938553749572
l4,Layer IV,2,Sst,0.0030741467001726927,0.06367842375071561
l4,Layer IV,2,Vip,0.0028443261640486153,0.058917880122428934
l4,Layer IV,3,Astro,0.0020681054594593436,0.028241107059344954
l4,Layer IV,3,Chandelier,0.008698303837242327,0.11878007902289991
l4,Layer IV,3,Endo,0.0003467057130721668,0.00473445544866813
l4,Layer IV,3,L2/3 IT,0.0007383330433815887,0.010082340060667171
l4,Layer IV,3,L4 IT,0.0027054192143237408,0.03694397368502652
l4,Layer IV,3,L5 ET,0.0037393802545024717,0.051063275143914844
l4,Layer IV,3,L5 IT,0.005309493690465392,0.07250402974254003
l4,Layer IV,3,L5/6 NP,0.003883851086204131,0.05303610307992628
l4,Layer IV,3,Lamp5,0.0037630335427274184,0.05138627368444425
l4,Layer IV,3,Lamp5_Lhx6,0.003201276303703009,0.04371517245694794
l4,Layer IV,3,Micro-PVM,0.005406612958076141,0.07383024626673865
l4,Layer IV,3,OPC,0.0037399039097344975,0.05107042594147315
l4,Layer IV,3,Oligo,0.010296784571361838,0.14060820453656253
l4,Layer IV,3,Pax6,0.004926392983010212,0.06727258081218378
