layer,layer_label,fold,ctype,mean_abs_shap,relative_contribution
l5,Layer V,5,Oligo,0.0007756290122692676,0.008570308938086324
l5,Layer V,5,Pvalb,0.007903216833114674,0.08732655534159257
l5,Layer V,5,Sst,0.009766757818238495,0.10791774224752067
l5,Layer V,5,Vip,5.132994856021817e-05,0.0005671700129551479
l6,Layer VI,1,Astro,0.008801363133430658,0.14515643205101633
l6,Layer VI,1,Chandelier,0.0042342481833286295,0.06983331438466707
l6,Layer VI,1,Endo,0.0017750853658086195,0.029275585426994856
l6,Layer VI,1,L5 ET,0.00428374420395967,0.07064962722696254
l6,Layer VI,1,L5 IT,0.006644787101103871,0.10958911394886295
l6,Layer VI,1,L5/6 NP,0.0028835795959687638,0.04755742029277955
l6,Layer VI,1,L6 CT,0.0033967623038218715,0.05602108322009252
l6,Layer VI,1,L6 IT,0.0008708702283274597,0.014362822350018645
l6,Layer VI,1,L6 IT Car3,0.0009742043574869103,0.01606705989487246
l6,Layer VI,1,L6b,0.0016748842763336968,0.027623019521543453
l6,Layer VI,1,Lamp5,0.005025381140897728,0.08288107024449556
l6,Layer VI,1,Lamp5_Lhx6,0.005901749283973743,0.09733456692262933
l6,Layer VI,1,Micro-PVM,0.00820752799909889,0.13536260943293554
l6,Layer VI,1,OPC,0.0013566247643872764,0.022374126308063118
l6,Layer VI,1,Oligo,0.0005635206096489621,0.00929386048999126
l6,Layer VI,1,Pvalb,0.0019264709899899464,0.03177231198364723
l6,Layer VI,1,Sst,0.0021128384517690056,0.034845976300427635
l6,Layer VI,2,Astro,0.008136530445297071,0.18456516675169196
l6,Layer VI,2,Chandelier,0.0008885027212971322,0.020154370959224007
l6,Layer VI,2,Endo,0.002116947014193404,0.0480198140111349
l6,Layer VI,2,L5 ET,0.0029121930990186557,0.06605879601227013
l6,Layer VI,2,L5 IT,0.004652297489350281,0.10553049210265229
l6,Layer VI,2,L5/6 NP,0.0025632087163421965,0.05814260111624461
l6,Layer VI,2,L6 CT,0.0023250284818376824,0.05273983454469057
l6,Layer VI,2,L6 IT,0.0011263316929311237,0.02554916965175301
l6,Layer VI,2,L6 IT Car3,0.0014092532950718561,0.031966828017050704
l6,Layer VI,2,L6b,0.0004318934337681486,0.009796864174268914
l6,Layer VI,2,Lamp5,0.0031071426554730797,0.07048093855042978
l6,Layer VI,2,Lamp5_Lhx6,0.003554671734159615,0.08063247421902098
l6,Layer VI,2,Micro-PVM,0.007511716050678623,0.1703921757321271
l6,Layer VI,2,OPC,0.0008399320560494504,0.01905261720915226
l6,Layer VI,2,Oligo,0.0005148440584298516,0.01167847648749922
l6,Layer VI,2,Pvalb,0.001560575265818124,0.035399343258251885
l6,Layer VI,2,Sst,0.000433796710887584,0.009840037202537531
l6,Layer VI,3,Astro,0.006750995503090806,0.10530880993512741
l6,Layer VI,3,Chandelier,0.0010386974404538668,0.016202646155930683
l6,Layer VI,3,Endo,0.002297759828560434,0.03584276614488317
l6,Layer VI,3,L5 ET,0.002910125942602343,0.04539506797723184
l6,Layer VI,3,L5 IT,0.003005585944671481,0.046884148989017924
l6,Layer VI,3,L5/6 NP,0.005371861264978024,0.0837956886051024
l6,Layer VI,3,L6 CT,0.0024907029912117937,0.038852487427415795
l6,Layer VI,3,L6 IT,0.0014889021325443358,0.023225391220647706
l6,Layer VI,3,L6 IT Car3,0.003391900902380508,0.05291027779296264
l6,Layer VI,3,L6b,0.00280415019077005,0.04374195173647451
l6,Layer VI,3,Lamp5,0.005361451814247202,0.08363331153522592
l6,Layer VI,3,Lamp5_Lhx6,0.008495797961514732,0.13252599151736744
l6,Layer VI,3,Micro-PVM,0.008694072022960056,0.1356188695147312
l6,Layer VI,3,OPC,0.0011270864719855212,0.017581427065746936
l6,Layer VI,3,Oligo,0.0016020107945713049,0.02498977376037259
l6,Layer VI,3,Pvalb,0.001024394394817318,0.01597953288119318
l6,Layer VI,3,Sst,0.006251158981951635,0.09751185774056864
l6,Layer VI,4,Astro,0.00560327651226513,0.10226456112127277
l6,Layer VI,4,Chandelier,0.003625350809798112,0.0661657351128618
l6,Layer VI,4,Endo,0.0031745162541604527,0.057937621103197924
l6,Layer VI,4,L5 ET,0.006028771310079915,0.1100302030028874
l6,Layer VI,4,L5 IT,0.0034746390187474015,0.06341511676770871
l6,Layer VI,4,L5/6 NP,0.0038008479963800757,0.06936870800283747
l6,Layer VI,4,L6 CT,0.004436273026029237,0.08096575513058565
l6,Layer VI,4,L6 IT,0.0007652506653787576,0.01396647537765091
l6,Layer VI,4,L6 IT Car3,0.001725744357997856,0.03149630202826099
l6,Layer VI,4,L6b,0.0008702187072484106,0.015882231401838268
l6,Layer VI,4,Lamp5,0.007742746273350524,0.14131170356921618
l6,Layer VI,4,Lamp5_Lhx6,0.004523511220420688,0.08255792636163696
l6,Layer VI,4,Micro-PVM,0.0037142095464178385,0.0677874826176148
l6,Layer VI,4,OPC,0.0007135701020122263,0.013023261149402526
l6,Layer VI,4,Oligo,0.0006538003170598163,0.011932411748504382
l6,Layer VI,4,Pvalb,0.003659435275000823,0.06678780558669595
l6,Layer VI,4,Sst,0.0002798061360749822,0.005106699917827157
l6,Layer VI,5,Astro,0.004260325611845954,0.07924288692248407
l6,Layer VI,5,Chandelier,0.0025419507790048553,0.0472807800378253
l6,Layer VI,5,Endo,0.0034641248967396286,0.06443339840373354
l6,Layer VI,5,L5 ET,0.004519933620777765,0.08407164649868959
l6,Layer VI,5,L5 IT,0.004115689062432461,0.07655261890678054
l6,Layer VI,5,L5/6 NP,0.0035151363947124323,0.0653822222106195
l6,Layer VI,5,L6 CT,0.0031009377238234844,0.05767804618486391
l6,Layer VI,5,L6 IT,0.0007291093813316901,0.013561576631217959
l6,Layer VI,5,L6 IT Car3,0.002180480222483378,0.04055735721854749
l6,Layer VI,5,L6b,0.002213665034759115,0.04117460119619047
l6,Layer VI,5,Lamp5,0.004347112355328731,0.0808571372701697
l6,Layer VI,5,Lamp5_Lhx6,0.006475927438225885,0.12045351282039546
l6,Layer VI,5,Micro-PVM,0.006297284061199376,0.11713071118152528
l6,Layer VI,5,OPC,0.002334872987144623,0.04342909273981428
l6,Layer VI,5,Oligo,0.0017278826394034742,0.03213895394024726
l6,Layer VI,5,Pvalb,0.0016937554881174077,0.031504182273304995
l6,Layer VI,5,Sst,0.00024468966999020505,0.004551275563590624
