phenotype,outcome,feature,mean_abs_shap,relative_shap,total_mean_abs_shap
meg,delta,Sst_9,0.006055272884388456,0.0313647229873754,0.1930599829249492
meg,delta,VLMC_1,0.0037222701071840227,0.019280381417163137,0.1930599829249492
meg,delta,Vip_1,0.001999399496031081,0.010356364202147136,0.1930599829249492
meg,delta,Vip_2,0.002307347611334288,0.011951454549911849,0.1930599829249492
meg,delta,Vip_3,0.0025440229339617464,0.01317737055301988,0.1930599829249492
meg,delta,Vip_4,0.004456007425415233,0.02308094799297417,0.1930599829249492
meg,delta,Vip_5,0.0017082804430705897,0.00884844397678556,0.1930599829249492
meg,delta,Vip_6,0.0016435157047783944,0.00851297964434867,0.1930599829249492
meg,delta,Vip_7,0.0024012734304226795,0.012437965621058606,0.1930599829249492
meg,delta,Vip_8,0.003080756923090782,0.01595751163144154,0.1930599829249492
meg,delta,Vip_9,0.0015137898871963918,0.007841033984680647,0.1930599829249492
meg,theta,Astro_1,0.00173566361096526,0.01630400994214347,0.10645624095694549
meg,theta,Astro_2,0.0009124959922362331,0.008571559394110839,0.10645624095694549
meg,theta,Chandelier_1,0.001056059143347338,0.009920124305107149,0.10645624095694549
meg,theta,Endo_1,0.0020803134400428102,0.01954148879711204,0.10645624095694549
meg,theta,L2/3 IT_1,0.0006201682621915857,0.005825569798603002,0.10645624095694549
meg,theta,L2/3 IT_2,0.0018518931987533654,0.017395816178614965,0.10645624095694549
meg,theta,L2/3 IT_3,0.001152619530384727,0.010827167294502586,0.10645624095694549
meg,theta,L2/3 IT_4,0.0006766004364359346,0.006355667176991293,0.10645624095694549
meg,theta,L2/3 IT_5,0.0012376925948233567,0.011626303762913454,0.10645624095694549
meg,theta,L2/3 IT_6,0.0019797757221802752,0.018597084627297367,0.10645624095694549
meg,theta,L2/3 IT_7,0.0008244432082880311,0.007744432838103535,0.10645624095694549
meg,theta,L2/3 IT_8,0.00018714465780090913,0.0017579491452886897,0.10645624095694549
meg,theta,L4 IT_1,0.003176078148829475,0.029834588562205465,0.10645624095694549
meg,theta,L4 IT_2,0.002491520315722444,0.02340417333287298,0.10645624095694549
meg,theta,L4 IT_3,0.0022959770555385415,0.021567331655709246,0.10645624095694549
meg,theta,L5 ET_1,0.001469502821755553,0.013803820316648884,0.10645624095694549
meg,theta,L5 IT_1,0.0013153499591506614,0.01235578062241211,0.10645624095694549
meg,theta,L5 IT_2,0.0011461679335646536,0.01076656401974782,0.10645624095694549
meg,theta,L5 IT_3,0.0008899627474311361,0.008359892660413091,0.10645624095694549
meg,theta,L5 IT_4,0.0029540885807316127,0.02774932267171021,0.10645624095694549
meg,theta,L5 IT_5,0.0024999827487685905,0.02348366546006136,0.10645624095694549
meg,theta,L5/6 NP_1,0.0023689999924357053,0.022253274877457013,0.10645624095694549
meg,theta,L5/6 NP_2,0.001640399586284239,0.015409144372735013,0.10645624095694549
meg,theta,L6 CT_1,0.0004095608583638728,0.0038472226210721936,0.10645624095694549
meg,theta,L6 CT_2,0.0006712871819895461,0.006305756956616919,0.10645624095694549
meg,theta,L6 IT Car3_1,0.0008165847662655473,0.007670614319322076,0.10645624095694549
meg,theta,L6 IT_1,0.001176581352145402,0.011052253410124177,0.10645624095694549
meg,theta,L6 IT_2,0.0016467547200092758,0.015468841518415807,0.10645624095694549
meg,theta,L6 IT_3,0.002841196935274569,0.02668887150001516,0.10645624095694549
meg,theta,L6b_1,0.0021526500992589508,0.020220985448185753,0.10645624095694549
meg,theta,L6b_2,0.0007257703161805301,0.006817545966835859,0.10645624095694549
meg,theta,L6b_3,0.004431616631545761,0.04162852822633534,0.10645624095694549
meg,theta,Lamp5_1,0.0012050957273533078,0.01132010407769977,0.10645624095694549
meg,theta,Lamp5_2,0.0003308097291555213,0.0031074714472523217,0.10645624095694549
meg,theta,Lamp5_Lhx6_1,0.002463028887732518,0.02313653822070094,0.10645624095694549
meg,theta,Micro-PVM_1,0.0011340768907841844,0.010652986434518607,0.10645624095694549
meg,theta,Micro-PVM_2,0.0011741894765042794,0.011029785252131543,0.10645624095694549
meg,theta,OPC_1,0.0016563297683451128,0.015558785031823438,0.10645624095694549
meg,theta,Oligo_1,0.0014472291343752138,0.01359459174366792,0.10645624095694549
meg,theta,Oligo_2,0.0011047794538911213,0.010377780052725435,0.10645624095694549
meg,theta,Pax6_1,0.00031695478339865816,0.0029773245847262765,0.10645624095694549
meg,theta,Pax6_2,0.0006070762647657276,0.005702589714878715,0.10645624095694549
