,22q,adhd,asd,epilepsy_gge,epilepsy_rtle,epilepsy_ltle,depression,ocd,schizophrenia,bipolar,obesity,schizotypy,parkinson
97,0.30863117580152644,0.011347606381068716,-0.1400975321374045,-0.0702375666946564,-0.08693836068702293,-0.240453798625954,-0.06485633809160304,-0.0889224146183206,-0.44318450251908353,-0.24824908893129755,-0.224908404503817,-0.0016969053961832068,-0.17702109160305354
99,0.307853237593985,0.00728197333872181,-0.14447061924812019,-0.06532846363909765,-0.07980139581954898,-0.23413538225563912,-0.06378716266165407,-0.08877506336842109,-0.4458814776691728,-0.25012803330827077,-0.22852977857142875,-0.002345789374436091,-0.1785512140601501
101,0.27783356687499994,0.00014233417277777826,-0.16033909534722227,-0.045419597013888785,-0.06690433183333334,-0.21954564145833333,-0.0548121112291667,-0.0886021141041666,-0.45142828784722205,-0.25244691805555547,-0.2366997555555558,-0.005144875102777777,-0.1918945988888887
103,0.04560223340941168,0.006370444662058827,-0.17435625708823538,-0.08154113556764722,-0.11415143618235295,-0.33684340023529397,-0.08383871457941186,-0.08553416991764695,-0.39704641329411816,-0.19223681683235327,-0.24285014176470537,-0.019169281340588238,-0.16541850820588253
105,0.2077559829392973,0.012478791395207663,-0.16134351723961712,-0.09651284633865846,-0.18616551939297116,-0.3528951346006387,-0.09766822466453677,-0.10044226324600657,-0.464405318370606,-0.2688868413738017,-0.284199532939297,-0.030020942422044727,-0.18664972507987213
107,0.21485652229577412,0.0016026015826760508,-0.17002958701408466,-0.0780334918140846,-0.12066287553521143,-0.294810444901409,-0.08513916309577449,-0.09793086267042243,-0.4642713529577462,-0.2631384481971828,-0.27598968960563414,-0.020220329180281656,-0.19347030870422552
109,0.11614599356419755,-0.03529627330246913,-0.21351017246913573,-0.15143269276543211,-0.12121222432098765,-0.4042255302469131,-0.05987797551851851,-0.06925562300000002,-0.2861262164197531,-0.10631413729629628,-0.19947640790123455,-0.019988533969135802,-0.12466722237037037
111,-0.37661791017543833,0.06102022692982458,-0.14058063652631575,-0.014577908570175458,-0.04828752424561405,-0.33058438210526314,-0.0721205232982456,-0.0652827316666667,-0.28966143982456155,-0.05511689766666669,-0.1406885388421054,0.0011288121140350857,-0.12654432757894735
113,-0.383556238818182,0.07265652130909088,-0.12873143043636376,0.0021068375454545486,-0.05619592139090908,-0.3162205127272727,-0.08090839699090908,-0.07059227603636369,-0.3272441394545453,-0.08718716710000006,-0.1586251303636363,-0.0004143746918181804,-0.13927125590909087
115,-0.16203590615384614,0.014020329917948708,-0.17888535461538457,-0.08167901294871789,-0.0756600759230769,-0.3739434994871794,-0.06152747523076922,-0.06501837330769233,-0.2622772666666666,-0.05383722715384614,-0.15172284179487192,-0.007328721484615383,-0.11688829853846151
117,0.14836112777777777,-0.03597151044444444,-0.18813997000000002,-0.1592268544444444,-0.12304776055555555,-0.34091077000000003,-0.03976939677777777,-0.03739830772222222,-0.2731929722222223,-0.10966186477777777,-0.18064462888888888,-0.0077458734,-0.10671914138888888
119,-0.2530120581577335,0.09569435149333326,-0.07684370913333334,0.02308211753333333,-0.10454534370666663,-0.2934544254666667,-0.055582540720000025,-0.05896075298666663,-0.3021933714666666,-0.08306408305333336,-0.10293318146666662,0.001970682015546667,-0.12495612541333327
121,-0.07892412482564107,0.01861527094871794,-0.09650925213846157,-0.07021294934358967,-0.18343681097435885,-0.1992174313333334,-0.04635503299487179,-0.052545366846153914,-0.38682345266666635,-0.21440287512820505,-0.1974106274358974,0.011498347167692309,-0.11010556061538433
123,0.0730758424089349,0.0230083028316151,-0.0823558734810997,-0.08905095938487956,-0.20708916336769756,-0.17985081893470756,-0.057810021357388254,-0.07082445556013757,-0.3766514942268037,-0.22426505274914113,-0.17798086982817873,0.00901374576219934,-0.12372380671477676
125,0.2850924089005242,0.09094464045026175,-0.08849074240314134,-0.11884645382198954,-0.39858694617801105,-0.48165880523560123,-0.007867475757068037,-0.0672821235759162,-0.22288470083769701,-0.16824412120418855,-0.09073874019371717,-0.015981641303664963,-0.14666006581151825
127,0.2829345975918365,0.09144552557551039,-0.08766053261632656,-0.12030338296734688,-0.39477695122449014,-0.47486055191836746,-0.008994583562040814,-0.06864169935102034,-0.22516345930612228,-0.17003308738775522,-0.09095717731428563,-0.015940505670204077,-0.1475472051836736
129,0.3079418996894401,0.0905604661614908,-0.08637478649068317,-0.12548915773913039,-0.3839754161180134,-0.43624666360248265,-0.010035381866770169,-0.0648432587795033,-0.2353316038509316,-0.17188933810559034,-0.08932560005279506,-0.017523090335403745,-0.14534333968944144
131,0.3251369709354841,0.08813198665806456,-0.08611981764838701,-0.10401413302258061,-0.3930243349677425,-0.45584402909677274,-0.0006685097524838687,-0.058061211651612876,-0.22186087741935515,-0.15481040732258075,-0.08216714333870967,-0.016332618453225804,-0.14042412612903202
133,0.26888974891566353,0.09780369001606463,-0.08603404848594365,-0.1329731706024096,-0.384864867871487,-0.4487146844578301,-0.010855922472289108,-0.06970827689558233,-0.22466134060241041,-0.1715543442570286,-0.0882186108995981,-0.017519672891566314,-0.14922665558232967
135,0.2509412934449761,0.08706379383014337,-0.05392342195693785,-0.12765069619617223,-0.2618920351435405,-0.28098838918660396,-0.051630717866028464,-0.12387986658133965,-0.33707785729665035,-0.24207790610047863,-0.11153943472248791,-0.003583512166028715,-0.18009181313397166
137,0.295002876380256,0.07602607950639821,-0.06116505490859233,-0.12985162786106041,-0.2773579497989025,-0.283980326032906,-0.05158889409506392,-0.11703358487751364,-0.3415124056672763,-0.24696077058500876,-0.11819146342778789,-0.008545262535831733,-0.17432518519195606
139,0.5725018327470691,0.031319313110552645,-0.08591417190787266,-0.1111477824235516,-0.3554186568844245,-0.303676622479062,-0.0298088426757119,-0.04992999470854259,-0.360717440217756,-0.22211446075376953,-0.12343930543718572,-0.0185229801298158,-0.12979179166499194
141,0.4687763208453158,0.034801847172113244,-0.08283352818082812,-0.13469855688453156,-0.32071214226579486,-0.2786324354466231,-0.047062604283224486,-0.07093499803485825,-0.38868903485838896,-0.2536835693464057,-0.14329625453812625,-0.01651790358932464,-0.14276518332244012
