,22q,adhd,asd,epilepsy_gge,epilepsy_rtle,epilepsy_ltle,depression,ocd,schizophrenia,bipolar,obesity,schizotypy,parkinson
177,-0.1475472171014493,-0.10868384881159425,0.042654921826086954,0.08071658295652177,-0.06451473466666661,-0.022451453579710172,-0.07312808747826087,-0.03398404374173917,-0.23578074857971032,-0.13918769088405786,-0.14469041286956513,0.015361960231884061,-0.07568173798550727
179,0.1849379427801046,-0.07552177390575916,0.060147450753926676,0.01632567504083767,-0.15965117121989517,-0.09985926606282731,-0.07144287693717283,-0.044717302268062815,-0.26441868612565456,-0.16702718371204178,-0.10464137699999987,0.013241725250261766,-0.028174111473821963
181,0.29913957723008877,0.05113224701769906,0.014369297552654888,-0.0013802487637168078,-0.06794762738318573,-0.1618010802300886,-0.07331289219911498,-0.06961332497787623,-0.3129797206194689,-0.15298127628318614,-0.11813285811061955,-0.016378575313274323,-0.16164032486725644
183,-0.014015835604166681,-0.09318825174999991,0.05603706816666664,0.06058831334895826,-0.12463071438541647,-0.07728114116145843,-0.06561394031249995,-0.035291301632916695,-0.25931048324999983,-0.15293646478124992,-0.13077480517187492,0.011571377640104177,-0.06219713034583326
185,0.111138353246114,-0.0716601498290155,0.019047785398963724,-0.00031724938082906156,-0.22740843543005201,-0.25519124665803145,-0.06372394407772013,-0.0471608681606218,-0.2989026253367882,-0.16272885834196932,-0.18458695020725382,-0.0048102671631088095,-0.14070215527461155
187,0.35231017174825185,-0.08262213711888101,0.04130120782517486,-0.023558379923076928,-0.0008795523155245124,0.015497455020979042,-0.1256804402937061,-0.07660040546153847,-0.21808147223776225,-0.1745252216083916,-0.09666238830769251,0.039562003769230775,-0.03648261108601399
189,0.3766668207142861,0.10240863492857148,-0.03243326097619045,-0.03434555925178567,-0.33788855952380975,-0.3376914607738096,-0.0038214572232143046,-0.056877876363095256,-0.34287408017857157,-0.19360109214285695,-0.08125816572023807,-0.0070267101845238045,-0.12414443076190469
191,0.5552551396164381,0.08233784482739727,-0.030857045312328787,-0.051026756052328724,-0.3063685247671237,-0.2503737716986303,0.05118599594356167,-0.025588185254794473,-0.19562450782465735,-0.07332729364520534,-0.01458471761863013,-0.010698341648767118,-0.09161687343013708
193,0.4950450900793648,0.0903017552857143,-0.022399742531746022,-0.06403305091269838,-0.2886117422222223,-0.26174349841269845,0.03813803593499997,-0.031923197844841274,-0.21753810694047618,-0.08540740564880951,-0.0196699056038095,-0.0012429012628571426,-0.10378457043253966
195,0.28905717770917727,0.0875632216,-0.055337211172602735,-0.017588613645863012,-0.3087531420547948,-0.3442283768493152,-0.02219320449983561,-0.06213676543561649,-0.36456691679452097,-0.20347513922191762,-0.11562489114794525,-0.015178592341643805,-0.12720246251780828
197,0.4608213143523321,0.07668123537305721,-0.03808965449533679,-0.03669859477215883,-0.3168826112262521,-0.32316494122625183,0.016790147758963734,-0.04953747675820374,-0.25385540034542364,-0.13122338382383394,-0.05654893585803122,-0.00877236932709844,-0.11490818362003495
199,0.22741808922829543,0.12945627386173628,-0.028727131553054557,-0.1265791946302252,-0.2598014612861741,-0.3131281063022511,-0.026924133633440477,-0.08171818654983945,-0.32656903231511336,-0.17044565424437275,-0.0685746678553058,0.026211762309967898,-0.1673885114790993
201,0.24419140722929952,0.09865911872292997,-0.055882120070063615,-0.11294784102547752,-0.20946331878662397,-0.2868787832802556,-0.04046740415923558,-0.08757587025796168,-0.3650074963694267,-0.19559576786624208,-0.11212492229936295,0.019325796883439498,-0.17257104375796187
203,0.258247883907692,0.13259383618461537,-0.02201914908000004,-0.11930691353538446,-0.2575058884923077,-0.3055414061846157,-0.014155935990769244,-0.06811853271384616,-0.3117096479384628,-0.14476274867692296,-0.05334476007692309,0.029464243481538397,-0.15749838148307713
205,0.22682668524495697,0.12042632855907774,-0.040241846945245005,-0.11761427789049006,-0.2469135290201736,-0.31828268772334356,-0.03248116313544662,-0.07689968917579244,-0.3503558056195969,-0.17383524827089333,-0.09129410255907774,0.023883097444380406,-0.16690810184438018
207,0.31233466266055043,0.10503409478899083,-0.07497665035321109,-0.12186087645871556,-0.359610704678899,-0.40040938380733937,0.0013417480035963288,-0.0613341195229358,-0.22715562655963276,-0.14310406029816525,-0.06994924644954117,-0.007524497494724762,-0.14220103317431196
