phenotype,outcome,feature,mean_abs_shap,relative_shap,total_mean_abs_shap
meg,gamma1,Oligo,9.298101656868183e-05,0.017749129036660382,0.005238624181312326
meg,gamma1,Pax6,0.0002649940239456283,0.05058466016534226,0.005238624181312326
meg,gamma1,Pvalb,0.0004562577596723461,0.08709495926429467,0.005238624181312326
meg,gamma1,Sncg,0.0004179070820890731,0.0797742055213404,0.005238624181312326
meg,gamma1,Sst,0.0004325282692595949,0.08256524123309841,0.005238624181312326
meg,gamma1,VLMC,8.193252760508872e-05,0.01564008502411101,0.005238624181312326
meg,gamma1,Vip,0.0002449329140737278,0.0467551986163607,0.005238624181312326
meg,gamma2,Astro,0.00035801823764534105,0.04344735169463006,0.008240277570004131
meg,gamma2,Chandelier,0.0011568798307554065,0.14039330846895567,0.008240277570004131
meg,gamma2,Endo,0.00022713283113491955,0.027563735469508664,0.008240277570004131
meg,gamma2,L2/3 IT,9.178942930469378e-05,0.011139118618870476,0.008240277570004131
meg,gamma2,L4 IT,0.00019171400076583838,0.023265478515396933,0.008240277570004131
meg,gamma2,L5 ET,0.0009829930899913834,0.11929125950436771,0.008240277570004131
meg,gamma2,L5 IT,0.00014068022382528582,0.017072267606298035,0.008240277570004131
meg,gamma2,L5/6 NP,0.0004722243236085993,0.05730684671685914,0.008240277570004131
meg,gamma2,L6 CT,0.00029291059794731516,0.03554620526540932,0.008240277570004131
meg,gamma2,L6 IT,0.00012821270139655626,0.015559269734222312,0.008240277570004131
meg,gamma2,L6 IT Car3,0.00037526624422693086,0.045540485868213625,0.008240277570004131
meg,gamma2,L6b,0.00033143749986567616,0.04022164266312572,0.008240277570004131
meg,gamma2,Lamp5,0.0005239783831638288,0.06358746762016733,0.008240277570004131
meg,gamma2,Lamp5_Lhx6,0.00041816059552319954,0.050745935676410704,0.008240277570004131
meg,gamma2,Micro-PVM,0.0002642674421139806,0.03207021121181093,0.008240277570004131
meg,gamma2,OPC,0.0002301427428821709,0.027929003717050215,0.008240277570004131
meg,gamma2,Oligo,0.00025502930045968685,0.0309491152807804,0.008240277570004131
meg,gamma2,Pax6,0.0001755743118310295,0.0213068443798722,0.008240277570004131
meg,gamma2,Pvalb,0.0007785357580716056,0.09447931231171079,0.008240277570004131
meg,gamma2,Sncg,0.00019541108573423727,0.023714138762213965,0.008240277570004131
meg,gamma2,Sst,0.0002797576861235174,0.03395003187051345,0.008240277570004131
meg,gamma2,VLMC,8.121445938589487e-05,0.009855791712833547,0.008240277570004131
meg,gamma2,Vip,0.0002889467942470321,0.03506517733077859,0.008240277570004131
enigma,22q,Astro,0.006088354364525541,0.029063849720228626,0.20948203431866794
