,Astro,Chandelier,Endo,L2/3 IT,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5_Lhx6,Micro-PVM,OPC,Oligo,Pax6,Pvalb,Sncg,Sst,VLMC,Vip
55,1.4147574603641235,-2.0276698783422447,-3.552255921568613,2.5826786935673116,1.893930823451905,-0.004925408500620954,1.7367329834435665,0.8675756637961025,0.7886290061394616,1.1033080955056613,-0.4671159911078666,0.5347064952613234,-0.22935170338858768,-1.168489269981845,-1.6898094225082518,-0.4019778235544935,1.98756770342069,-1.7388400821312926,0.06971992698343543,-1.3907945928930294,0.6506345636077171,-0.8334254383581534,-0.12558588320630548
57,1.3905197901300053,-2.1354003595866704,-3.109915463833854,2.6124056898698527,1.9190388497152102,-0.002725315254364702,1.7226105262875673,0.8167428653121225,0.7715165183597299,1.075399576955217,-0.3360155816908925,0.5068712156302335,-0.3013728190707132,-1.2562761155573874,-1.8190981975893719,-0.46126194161768375,1.963888610422746,-1.7469421604767765,0.09192707246658038,-1.4851511291016042,0.6557181883328211,-0.7346703287216254,-0.13780949098114537
59,1.4281143354842407,-2.12855422222632,-3.023989449261492,2.5405237417311586,1.7623113079291244,0.11056656194505132,1.692424005307252,0.8145971729406054,0.7822618110776465,1.130538582254029,-0.4207745668179297,0.5251687368950284,-0.2812698272313896,-1.1996205710566321,-1.7670689387193366,-0.3974364419345995,2.0720211953699534,-1.7707907438487926,0.10235723912495898,-1.526984946186683,0.6077051558945996,-0.8634252029609875,-0.18867493570948257
61,1.3511725973495272,-2.002514179143871,-3.9847676880210443,2.7388533372234427,2.13572130012341,-0.29740334199632557,1.8648892873266028,0.8452225533214506,0.7089550137002423,1.0129758458476186,-0.0439501474734616,0.5774454703797351,-0.3308758720091891,-1.2889804317963858,-1.6797687580042684,-0.5242468282677049,1.5995169571628107,-1.6334537713885071,0.010674287072034438,-1.263344714822349,0.847167967992251,-0.6775296021819717,0.03424071760596448
63,1.4001574921163598,-1.8548573243995232,-4.045503993210876,2.7622773318441802,2.0064346754289297,-0.1371244018594444,1.7685351528062139,0.8009648825667912,0.7459065614306994,1.0722390774091246,-0.28392978874860564,0.5503791202539299,-0.23509454828093101,-1.1997328796846096,-1.6671269563190059,-0.4399803641441986,1.741192647223845,-1.7073391765000077,0.017444136987014858,-1.2036727594874996,0.7580437333123893,-0.8375621787454639,-0.011650439999303153
65,1.337006754364118,-2.247074891662046,-3.6734679702923296,2.687732256712607,2.096137554979314,-0.2867794604381553,1.9956716844940687,0.9229505713000736,0.6668685690457425,1.049837506764716,-0.19733207911767447,0.6150513393020356,-0.30130920256026794,-1.2375945018347716,-2.0098786802224113,-0.6135645134309318,1.5503688364546524,-1.5641470324697995,0.04904346641256385,-1.2505812718430516,0.8223919137762983,-0.49747562233457376,0.08614477259980724
67,1.3923420062308183,-2.1497076109513107,-3.064189518024865,2.5665393723767713,1.8527911061383002,0.0034325008551712166,1.7553917451537169,0.8128377327472056,0.750406486541471,1.081380539716497,-0.34332632213012326,0.5345936982151898,-0.30388101786306043,-1.232336226159433,-1.797162264156961,-0.4579585537536359,1.9332206958780596,-1.7183287755327386,0.07435006964461266,-1.4585494286213811,0.6677629282896609,-0.7784045763167886,-0.12120458827718261
69,1.257492593148208,-2.014323968697372,-4.3255066299209695,2.702662144930898,2.3023457770947955,-0.5632801173052444,2.016228821981037,0.8843788451739534,0.6447124684157672,1.0641590875055145,0.10089614961287863,0.535779216837585,-0.3716350354228748,-1.3055887584005266,-1.4352996744868953,-0.388025858563565,1.3252283059640129,-1.591773407256654,-0.08070801796271088,-1.1292772165774583,0.918260945912118,-0.6747349458216112,0.1280092738391021
71,1.3149034356412415,-2.2460406317912636,-4.258760872357954,2.715565103234165,2.226366172367843,-0.4138340540235381,1.956170258155295,0.9419965479613004,0.6659311067265268,1.0726381557059002,0.0721289259262683,0.6334637375763315,-0.35541619103813904,-1.2807991644366208,-1.6468572843130236,-0.5692708305046121,1.552753337099964,-1.5158095804867653,0.02858905858283034,-1.2992483490150306,0.8756127220525745,-0.563316297820057,0.09323469475676838
73,1.3301402506472568,-2.140724418130217,-4.416414255493602,2.669879156529051,2.260876504503461,-0.4488192480207296,1.9444086469992183,0.9443756255770035,0.7368413810287944,1.0396929686051712,0.24714428922995824,0.7126109293640193,-0.38167901455388,-1.2819065198385307,-1.617616723213965,-0.49936680326967764,1.4258069517703857,-1.565232793120983,-0.02639805554782715,-1.2393784605436062,0.9316770342694372,-0.7030244270799519,0.07710698028919971
75,1.3233561808239265,-2.130315094836365,-4.600720312528767,2.725292732536693,2.2982452539313214,-0.4863485553400855,2.0361953699730098,0.9853026095038993,0.6760733935323868,1.1540455948008268,0.08553392706663487,0.6372689737028208,-0.3601217542876842,-1.2125231393106368,-1.657883350296406,-0.4816718224666747,1.6187992019360085,-1.5577502456513113,0.04605323829348862,-1.2239166609832592,0.9425263308083096,-0.9767862184484901,0.1593443472403857
77,1.286302105474804,-2.1177756641211865,-4.297202626304734,2.6340138744233856,2.2148583581044274,-0.514834615989086,1.95067393648111,0.9088726533631792,0.7051321996133284,1.0383326089558191,0.26081735658542904,0.7010079083683283,-0.38770180015403266,-1.3196159652139716,-1.5486975787880644,-0.44957450372683017,1.2378740574326033,-1.547493535550319,-0.10977360022651172,-1.1684964191609275,0.9714735671917683,-0.5553016378286424,0.10710932107012017
79,1.2876966919541237,-2.0963762727180466,-4.439281228307878,2.7085536375986154,2.2586367215130982,-0.4942700763422483,2.0305822744137636,0.9329489116605685,0.6916091888807028,1.0778081541532134,0.13682174995630136,0.6841628133476472,-0.3847346473777522,-1.2567842947005037,-1.720412932596024,-0.495547447761977,1.388013198551433,-1.5492914519877505,-0.02374434437235884,-1.2041100749545057,0.9679708303092047,-0.648600111082227,0.14834870986259796
81,1.304179746286867,-1.9727367028094829,-4.559439692049811,2.77827158304083,2.3623957547009007,-0.5936841288779027,2.073046101127562,0.9233708566488184,0.6847801610115907,1.1686295958721087,-0.015168351807573366,0.5947623442418237,-0.3732165218756185,-1.2744021978522282,-1.6690141478174079,-0.40459838490885325,1.5946849652706154,-1.5741835019993715,0.03783492095997598,-1.2159731929939266,0.9537927852177814,-1.041044661698309,0.21771267031163388
83,1.3102215851032852,-2.039282563425388,-4.59203229389205,2.748276416237611,2.3109846870213504,-0.5343824277455873,2.0403406491973253,0.9357762954777527,0.6517227701702084,1.13920495846093,0.06883287192419374,0.6267572402911963,-0.3452429785587041,-1.2312343062892115,-1.632361707676183,-0.41290393677741744,1.4983123995665917,-1.5233264232624073,0.010705779891187817,-1.1565944153817007,0.9722356911584935,-1.0585283913155026,0.21251809982400705
85,1.3203509873740167,-2.0569546459022607,-4.755410550422445,2.8059005227260934,2.352608886895762,-0.5418839114934997,2.0989910688771114,1.0100252314947298,0.6881525528550001,1.1943934429548402,0.0006587142706671045,0.6558741356450111,-0.37276846736916625,-1.2221361565487348,-1.678563439166589,-0.4320059796688591,1.6398990374465554,-1.569375812827067,0.07093810780325871,-1.2406829537592579,0.9690949529003099,-1.1514425564009514,0.21433683231546397
87,1.3156697143427682,-2.028154561339165,-4.591691292548364,2.7359859066415337,2.3102071875987376,-0.5305496056824177,2.0468037663352265,0.9322613100956079,0.6669954599992356,1.1322622174470873,0.08080976822034902,0.6293496242199303,-0.36160212660957125,-1.2541688103561395,-1.6887771679567534,-0.42351958100029385,1.523341603076958,-1.533791822221624,0.01758200062767834,-1.1879965622942787,0.9679602457141501,-0.9629152955627722,0.20393802125211113
89,1.2374402529583275,-1.913863044663981,-4.16254397589662,2.8519837032661233,2.3719503162533613,-0.6580457790300533,2.093037505473115,0.8376900693462082,0.6337894449138779,1.0865099777841722,-0.26548569855729554,0.5173733219485546,-0.37318979331604574,-1.3549073769921378,-1.7440164255088861,-0.5049278280547354,1.5807666479081348,-1.6358174778250838,0.039418295889798394,-1.3195617796395078,0.8701393234183334,-0.3977854210596652,0.21004574138401821
91,1.3034814534105448,-2.017998495410165,-4.583451170928457,2.806326946481958,2.3272252334779013,-0.5851390666385772,2.09074535358306,0.9399940359129841,0.6447331557441065,1.1389697609539464,-0.09398614565421681,0.6025163236270892,-0.38066998182910083,-1.2851413509874057,-1.644365021558487,-0.4416367340247813,1.613556677174155,-1.5852461939648972,0.0630238473707383,-1.2853860192079347,0.9327749795487819,-0.7800508162142652,0.21972322913302866
93,1.269913854804197,-1.9322969006081818,-4.345834700772236,2.7945657385433744,2.3872668084566917,-0.6354759270361185,2.065566168132358,0.8779195681139225,0.6846839194064729,1.154579858670735,-0.07617749935191842,0.5511926579995006,-0.37050576796634616,-1.2958966069863562,-1.7104697494853172,-0.42516631985172815,1.572042517024574,-1.5940780474618066,0.018228162005838655,-1.2117469534137797,0.930886992190795,-0.9205644168002243,0.21136664438557196
95,1.2846938656150124,-1.9407242021647244,-4.438165215309162,2.7894276142306778,2.381088895259482,-0.6248835467176672,2.0702569417217203,0.8866041201423487,0.6882309315246715,1.1608569507646664,-0.06600513773866457,0.5599394223559573,-0.37327073106342734,-1.2951308353393527,-1.6912783049183906,-0.4083691131699245,1.589993633753171,-1.5912453024455573,0.02753288687084332,-1.217272274201811,0.937671328359416,-0.9464844648203332,0.2165325372910365
97,1.3251963447883393,-2.023724737541798,-4.706252689453855,2.7892135370334312,2.34336818489389,-0.5726970476546622,2.091304207402757,0.9782874417916392,0.6767567059212811,1.1849328639603987,-0.012397699873766044,0.6313940875104973,-0.3791461364987274,-1.2503295561143233,-1.6195511568228662,-0.4034587939094827,1.6297049093303388,-1.5644550053698945,0.06646620199567987,-1.2403330897841007,0.9672169479587076,-1.137091652958472,0.22559613339499274
