,Astro,Chandelier,Endo,L2/3 IT,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5_Lhx6,Micro-PVM,OPC,Oligo,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
21,49.13904942142724,2.2094293752336935,0.1275556020453198,197.9942793082946,134.4763135498965,8.644437709649193,97.3938745174035,34.420406556420836,28.305104376814498,36.9005981189893,9.651913606144994,25.303140175839474,9.277355332625364,3.896863168029355,2.7583970964101816,8.773648761791224,54.62356515750948,2.444833316958988,13.088623006196539,4.819158228593173,28.073412718264958,0.010750516268299464,5.417600832682416,12.50956597253628
23,46.05992873937118,1.6970052296182323,0.06504212442645739,148.71320621830168,86.84083039436695,11.182159067409454,69.29045990832964,27.34800431556625,25.808292964458765,34.59856652279745,7.266722208669496,20.433002901798375,8.261545800367672,3.9915861447366296,2.9028165777306016,8.047160469482805,67.97756995912609,1.9662327394317747,11.896322793747698,3.2840995132486666,22.548752622823134,0.011217301183707203,3.5114010250785435,9.472497794179807
25,47.72903737470265,1.6722115839244893,0.07403518970140441,147.84709436224233,84.5942948155789,11.765556957024756,68.11253002011468,27.851634640604978,25.97492374404944,34.799573126008575,7.211158692244358,20.1089291712686,8.404452663004571,4.097282967420684,3.2545417808339536,8.225533621803967,74.55160364554872,1.969382464169192,12.104358233291284,3.123094700710323,22.35409804967048,0.013674809406794768,4.116396066617622,9.399848597274994
27,49.11306884963299,2.2382886334341108,0.14377428796384004,194.47076926626076,138.4876775573526,7.481011737958174,101.79601024121268,35.09567292179814,27.34210394921466,38.21511474691363,11.202512258934647,27.06222591227527,9.481033557043538,3.949976426449191,2.8002298641055523,9.127742693070397,47.84051040640971,2.7537548532368894,12.868143761887758,5.698742171790517,30.0236408040964,0.008672228364251067,6.8693373307216214,13.407653268771732
29,48.797426602946565,1.7945843025716905,0.08228683977593276,177.26539339129366,98.98527965552476,9.646495826740532,73.57271155976963,25.64204323839569,26.05588253877112,34.45875777500264,11.038579988132893,22.034939198119936,8.496874732167013,3.823909003274729,2.1179096424914987,8.50114742899252,51.16753677759444,2.145584254351666,11.592489300768863,4.408394120282589,24.686882486186605,0.00786303037545835,2.751074041398711,10.732890841942927
31,47.926268314797944,1.8799646846969138,0.1072552995749892,174.7685118341493,110.01339789901701,8.959062623933779,80.6064823368463,29.279914370373255,26.655499813238485,35.4020622016045,11.603609544945494,22.826158489009966,8.561318883743162,3.742446773896333,2.7264965810798505,8.848678865731745,50.09526137205256,2.228616735963276,11.599659040512213,4.60652053843125,24.91733115425266,0.009447627628905582,4.259177746805429,10.997046279530249
33,48.599691507191984,1.7916565217749272,0.10348789080890815,174.9278992531415,102.59267550414116,9.513730364154643,77.47596240463064,27.704309148519556,26.224299916904197,35.68173027924273,12.779889734401213,22.368727957995947,8.417394147078197,3.716985540968823,2.6236378509498106,8.73636641703796,47.20933443300749,2.270008990545088,11.417048521637078,4.514033333280223,25.601037419220024,0.008840258160521126,4.464950917707215,11.0124911134537
35,48.54762575065452,2.085232768925435,0.12833014606428783,184.93580275569275,127.2321398167889,7.867167502490922,90.19323427724882,32.93366599160865,26.969634126344875,36.541165138068024,12.72241376271104,24.317258600723274,9.238289538829912,3.775303668325866,2.977052195309864,9.275905944646922,47.32211647699513,2.495444760581944,12.009558434210941,5.364048079032835,27.11659662755998,0.008456242175692899,7.21237684839267,12.488834377032584
37,51.00894539404399,1.669481950804611,0.11722253184139464,180.75462463488245,112.19989747317105,9.685066871507185,83.11978373681146,29.683620360236507,27.365865236040865,36.77245266708651,14.695879232159,23.836587048007363,8.341066021054475,3.771164246897349,2.6843805412828523,8.671761231751432,49.28259711582986,2.367495008797964,11.804298821343654,4.386354601154218,28.43946643241392,0.008198029322005444,5.64392883133075,11.63007990839885
39,52.88724592383233,1.7791658353177047,0.12327968929827177,194.82473126385045,114.44496958518226,10.542210534392751,85.05213795633844,30.561382061500165,27.559022387214764,36.79245064979701,13.006351019885146,23.551958638600965,8.998591802835202,3.9917020512907206,2.648627460464196,8.236102719511104,57.630006924608615,2.5160319100164794,12.909570799109602,4.182643198710954,29.697827045147054,0.011285741768140772,6.111940764089676,12.441708082872818
41,48.26717661601832,2.1910226254774643,0.22657948631144875,180.277216760026,124.2565258141317,8.571370943043839,102.33537204182436,37.56544372724996,27.95214332218036,39.29555426002784,10.872892846600601,31.107380652499604,9.10988998087762,4.201137055935573,3.0619337356863237,9.65087031257402,38.488172682557824,2.823958700054171,12.836452428936543,5.846032199216678,31.989474098411716,0.00935516551641595,7.083520900500908,13.218743969405061
43,46.450762946222596,1.8487200088327778,0.1419240376785147,168.48491382330744,123.58314978273327,7.694211640368931,87.82857630872299,32.306791533195664,27.980432057406926,39.19935235195691,15.288614695506341,25.765240052075264,8.187828021496964,3.662852990060499,2.7063793216554948,8.842704409038163,43.99825713380405,2.3714259639486066,11.123088268555268,5.199903756767266,27.906354251553537,0.006712069177705485,5.617847488242604,11.609572893547531
45,46.71473088097223,1.9497862118305123,0.12701586573961515,174.47100695182078,130.4049915940975,7.496315015473771,93.55643167700926,33.527352342985225,28.010459893744613,40.06853823138687,14.181272879626329,26.940096864810954,8.563892673189173,3.7912604975171518,2.6237181760848447,8.819856499715778,45.56766122921236,2.5324459537679243,11.518490610821054,5.519990035044629,28.924474224890577,0.00730422386824496,4.952140408602595,12.117726387839244
47,46.49343750784052,2.0292631013586284,0.16695349546184826,177.00887639786825,127.58196462521965,7.912971148440728,99.47825350540609,35.03330008924783,27.44802958722208,38.8968481669372,12.55483096417712,28.7298610904727,8.738148530861212,3.9380554851750746,2.806791127880708,9.314564755439267,40.08002114444158,2.6313792115771744,11.894287601285354,5.79432390397913,30.447286867505614,0.008020824975573757,5.555278014143036,12.532698332326113
49,43.44774029188106,1.6420089951005044,0.15041386660117873,152.42730722191422,113.06041115291882,8.93137800090947,90.7159975561421,34.92641001782934,28.60405215991635,38.82443597720737,14.334833052089554,27.28020056448357,7.685185264363516,3.843993392776864,2.2500921515302177,8.884977442318315,35.990683416519005,2.2910099272235778,10.383337330400453,5.021463090544892,28.3912536123561,0.005315276749553306,3.6972565147128997,10.472548239167223
51,47.76167583189529,1.852118344044074,0.14251173242311052,168.87852695070055,120.78131008198689,8.002055527487611,84.40430832212591,32.22155441111122,27.993982031712626,38.732722159301865,16.11081895196106,25.251530076961114,8.393566727523929,3.678484474482698,2.933293099216462,9.119576267379967,44.041914702675726,2.3652999764890175,11.093745434131781,5.164717403877394,27.5976451979063,0.007283364276201339,6.667860832760956,11.717780757940796
53,52.14758370340835,1.6800333012539717,0.14355475482109595,184.53327336465128,109.61052944256733,12.365951560784291,79.90179744454855,32.23990903257602,28.482663222445296,36.97410028696062,9.716222445737664,22.199829108458292,9.268826576295814,4.291591580784267,2.789795522236802,7.990150168795679,76.26841931238326,2.333209139055475,13.680893413942698,3.506617673732198,26.921965919568756,0.011107691612223136,5.894120644491671,11.25520904782472
