phenotype,outcome,feature,mean_abs_shap,relative_shap,total_mean_abs_shap
enigma,epilepsy_gge,L5 ET,0.005863722943350486,0.09701322561595159,0.06044251086509933
enigma,epilepsy_gge,L5 IT,0.0013278142121463258,0.021968217288488443,0.06044251086509933
enigma,epilepsy_gge,L5/6 NP,0.0007907432410198224,0.01308256771107126,0.06044251086509933
enigma,epilepsy_gge,L6 CT,0.0017521818070855824,0.028989229302473038,0.06044251086509933
enigma,epilepsy_gge,L6 IT,0.0010416033543592816,0.01723295970751479,0.06044251086509933
enigma,epilepsy_gge,L6 IT Car3,0.0027483246692620207,0.04547006121893186,0.06044251086509933
enigma,epilepsy_gge,L6b,0.005817127620209693,0.09624232244740538,0.06044251086509933
enigma,epilepsy_gge,Lamp5,0.0013830068835158774,0.02288136054775402,0.06044251086509933
enigma,epilepsy_gge,Lamp5_Lhx6,0.0010971493008308613,0.018151947778601903,0.06044251086509933
enigma,epilepsy_gge,Micro-PVM,0.0011107670140368842,0.01837724803517821,0.06044251086509933
enigma,epilepsy_gge,OPC,0.0042230720063759445,0.06986923517789245,0.06044251086509933
enigma,epilepsy_gge,Oligo,0.0058968471479739475,0.09756125388528326,0.06044251086509933
enigma,epilepsy_gge,Pax6,0.0015962499419928313,0.026409391654087237,0.06044251086509933
enigma,epilepsy_gge,Pvalb,0.0013398775307011496,0.02216780063441773,0.06044251086509933
enigma,epilepsy_gge,Sncg,0.0026184323715778756,0.04332103901874482,0.06044251086509933
enigma,epilepsy_gge,Sst,0.001017517362723737,0.016834465480673324,0.06044251086509933
enigma,epilepsy_gge,Sst Chodl,0.0030145611522725334,0.04987484982218366,0.06044251086509933
enigma,epilepsy_gge,VLMC,0.003706355848784875,0.061320348803130156,0.06044251086509933
enigma,epilepsy_gge,Vip,0.002874266951209108,0.04755373180350066,0.06044251086509933
enigma,epilepsy_rtle,Astro,0.017524299147544012,0.028278514043422,0.6197036775212177
enigma,epilepsy_rtle,Chandelier,0.02260395551995164,0.03647542582023441,0.6197036775212177
enigma,epilepsy_rtle,Endo,0.006036369906765809,0.009740735977089845,0.6197036775212177
enigma,epilepsy_rtle,L2/3 IT,0.004155748679151153,0.006706025524608681,0.6197036775212177
enigma,epilepsy_rtle,L4 IT,0.016264407887988636,0.02624545968977531,0.6197036775212177
enigma,epilepsy_rtle,L5 ET,0.06489020613479064,0.10471166863870822,0.6197036775212177
enigma,epilepsy_rtle,L5 IT,0.04979953413782879,0.08036023658440164,0.6197036775212177
enigma,epilepsy_rtle,L5/6 NP,0.014819978230697388,0.023914620435974376,0.6197036775212177
enigma,epilepsy_rtle,L6 CT,0.04112883620765262,0.06636855274470181,0.6197036775212177
enigma,epilepsy_rtle,L6 IT,0.05862250973725064,0.09459764701048348,0.6197036775212177
enigma,epilepsy_rtle,L6 IT Car3,0.017065147619096974,0.027537592946610664,0.6197036775212177
enigma,epilepsy_rtle,L6b,0.0486555294573016,0.07851418544411609,0.6197036775212177
enigma,epilepsy_rtle,Lamp5,0.04753785127015913,0.07671061669394645,0.6197036775212177
enigma,epilepsy_rtle,Lamp5_Lhx6,0.014293703745465463,0.02306538473781458,0.6197036775212177
