branch,layer,ctype,r_obs,p_value,n_perm_used,p_adjusted,reject_H0
within_layer__clr_false__thickness_relative,l1,VLMC,0.0230354518752154,0.40099833610648916,600,0.6482806433721574,False
within_layer__clr_false__thickness_relative,l2,Astro,0.010449490741332312,0.6006655574043261,600,0.7666389351081531,False
within_layer__clr_false__thickness_relative,l2,Chandelier,-0.15693548897669207,0.6006655574043261,600,0.7666389351081531,False
within_layer__clr_false__thickness_relative,l2,Endo,-0.07949893235363012,0.6006655574043261,600,0.7666389351081531,False
within_layer__clr_false__thickness_relative,l2,L2/3 IT,-0.10908324813266781,0.40099833610648916,600,0.6482806433721574,False
within_layer__clr_false__thickness_relative,l2,Lamp5,0.17637602443890274,0.40099833610648916,600,0.6482806433721574,False
within_layer__clr_false__thickness_relative,l2,Lamp5_Lhx6,0.07570088434824551,0.6006655574043261,600,0.7666389351081531,False
within_layer__clr_false__thickness_relative,l2,Micro-PVM,-0.008563552407484566,0.6006655574043261,600,0.7666389351081531,False
within_layer__clr_false__thickness_relative,l2,OPC,0.05184955277299201,0.6006655574043261,600,0.7666389351081531,False
within_layer__clr_false__thickness_relative,l2,Pax6,0.25045889961015966,0.40099833610648916,600,0.6482806433721574,False
within_layer__clr_false__thickness_relative,l2,Pvalb,-0.10048246974505466,0.6006655574043261,600,0.7666389351081531,False
within_layer__clr_false__thickness_relative,l2,Sncg,0.2866736393783881,0.40099833610648916,600,0.6482806433721574,False
within_layer__clr_false__thickness_relative,l2,Sst,0.09023312230737938,0.6006655574043261,600,0.7666389351081531,False
within_layer__clr_false__thickness_relative,l2,Vip,0.1814777755064852,0.40099833610648916,600,0.6482806433721574,False
within_layer__clr_false__thickness_relative,l3,Astro,-0.18972088763895975,0.800332778702163,600,0.8438291253707588,False
within_layer__clr_false__thickness_relative,l3,Chandelier,-0.21064195157171406,0.800332778702163,600,0.8438291253707588,False
within_layer__clr_false__thickness_relative,l3,Endo,0.14927424580460974,0.20133111480865223,600,0.44384359400998336,False
within_layer__clr_false__thickness_relative,l3,L2/3 IT,0.33610629835674904,0.20133111480865223,600,0.44384359400998336,False
within_layer__clr_false__thickness_relative,l3,L4 IT,-0.5508742794116801,1.0,600,1.0,False
within_layer__clr_false__thickness_relative,l3,L5 ET,0.08307552171027748,0.0016638935108153079,600,0.007685603359480231,True
within_layer__clr_false__thickness_relative,l3,L5 IT,-0.1011930595512057,0.800332778702163,600,0.8438291253707588,False
within_layer__clr_false__thickness_relative,l3,L5/6 NP,0.17882366833192312,0.20133111480865223,600,0.44384359400998336,False
within_layer__clr_false__thickness_relative,l3,L6 CT,0.16897314641430922,0.20133111480865223,600,0.44384359400998336,False
within_layer__clr_false__thickness_relative,l3,L6 IT,-0.12077337159609394,0.40099833610648916,600,0.6482806433721574,False
within_layer__clr_false__thickness_relative,l3,L6 IT Car3,0.27134802964593446,0.0016638935108153079,600,0.007685603359480231,True
within_layer__clr_false__thickness_relative,l3,L6b,0.29959253313394435,0.0016638935108153079,600,0.007685603359480231,True
within_layer__clr_false__thickness_relative,l3,Lamp5,0.10061606901054765,0.6006655574043261,600,0.7666389351081531,False
within_layer__clr_false__thickness_relative,l3,Lamp5_Lhx6,0.2548326012936139,0.20133111480865223,600,0.44384359400998336,False
within_layer__clr_false__thickness_relative,l3,Micro-PVM,-0.12563161790831373,0.800332778702163,600,0.8438291253707588,False
within_layer__clr_false__thickness_relative,l3,OPC,-0.23420985358549765,0.800332778702163,600,0.8438291253707588,False
