branch,layer,ctype,correlation,p_value,reject_H0,p_adjusted
within_layer__clr_false__thickness_relative,l1,Sncg,0.5123154804499209,0.059940059940059943,False,0.3606948606948607
within_layer__clr_false__thickness_relative,l1,VLMC,0.0230354518752154,0.9180819180819181,False,0.978614791801605
within_layer__clr_false__thickness_relative,l2,Astro,0.010449490741332312,0.954045954045954,False,0.9945317840054683
within_layer__clr_false__thickness_relative,l2,Chandelier,-0.15693548897669207,0.35864135864135865,False,0.7730713730713731
within_layer__clr_false__thickness_relative,l2,Endo,-0.07949893235363012,0.6723276723276723,False,0.8581024238918976
within_layer__clr_false__thickness_relative,l2,L2/3 IT,-0.10908324813266781,0.5144855144855145,False,0.8259125489894722
within_layer__clr_false__thickness_relative,l2,Lamp5,0.17637602443890274,0.21678321678321677,False,0.606336520622235
within_layer__clr_false__thickness_relative,l2,Lamp5_Lhx6,0.07570088434824551,0.6653346653346653,False,0.8581024238918976
within_layer__clr_false__thickness_relative,l2,Micro-PVM,-0.008563552407484566,0.97002997002997,False,0.9945317840054683
within_layer__clr_false__thickness_relative,l2,OPC,0.05184955277299201,0.7612387612387612,False,0.9004897541482907
within_layer__clr_false__thickness_relative,l2,Pax6,0.25045889961015966,0.1108891108891109,False,0.4137016829324522
within_layer__clr_false__thickness_relative,l2,Pvalb,-0.10048246974505466,0.5964035964035964,False,0.8305979734551163
within_layer__clr_false__thickness_relative,l2,Sncg,0.2866736393783881,0.07592407592407592,False,0.36233331885505804
within_layer__clr_false__thickness_relative,l2,Sst,0.09023312230737938,0.5854145854145855,False,0.8305979734551163
within_layer__clr_false__thickness_relative,l2,Vip,0.1814777755064852,0.34465534465534464,False,0.7598083734447371
within_layer__clr_false__thickness_relative,l3,Astro,-0.18972088763895975,0.44455544455544455,False,0.7956254272043746
within_layer__clr_false__thickness_relative,l3,Chandelier,-0.21064195157171406,0.4675324675324675,False,0.7956254272043746
within_layer__clr_false__thickness_relative,l3,Endo,0.14927424580460974,0.46053946053946054,False,0.7956254272043746
within_layer__clr_false__thickness_relative,l3,L2/3 IT,0.33610629835674904,0.21878121878121878,False,0.606336520622235
within_layer__clr_false__thickness_relative,l3,L4 IT,-0.5508742794116801,0.002997002997002997,False,0.0646020646020646
within_layer__clr_false__thickness_relative,l3,L5 ET,0.08307552171027748,0.8181818181818182,False,0.9448051948051949
within_layer__clr_false__thickness_relative,l3,L5 IT,-0.1011930595512057,0.7092907092907093,False,0.860014985014985
within_layer__clr_false__thickness_relative,l3,L5/6 NP,0.17882366833192312,0.5534465534465535,False,0.8259125489894722
within_layer__clr_false__thickness_relative,l3,L6 CT,0.16897314641430922,0.43756243756243757,False,0.7956254272043746
within_layer__clr_false__thickness_relative,l3,L6 IT,-0.12077337159609394,0.6333666333666333,False,0.8522162768738112
