,Astro_1,Astro_2,Chandelier_1,Endo_1,L2/3 IT_1,L2/3 IT_2,L2/3 IT_3,L2/3 IT_4,L2/3 IT_5,L2/3 IT_6,L2/3 IT_7,L2/3 IT_8,L4 IT_1,L4 IT_2,L4 IT_3,L5 ET_1,L5 IT_1,L5 IT_2,L5 IT_3,L5 IT_4,L5 IT_5,L5/6 NP_1,L5/6 NP_2,L6 CT_1,L6 CT_2,L6 IT Car3_1,L6 IT_1,L6 IT_2,L6 IT_3,L6b_1,L6b_2,L6b_3,Lamp5_1,Lamp5_2,Lamp5_Lhx6_1,Micro-PVM_1,Micro-PVM_2,OPC_1,Oligo_1,Oligo_2,Pax6_1,Pax6_2,Pvalb_1,Pvalb_2,Pvalb_3,Pvalb_4,Pvalb_5,Sncg_1,Sncg_2,Sncg_3,Sncg_4,Sst Chodl_1,Sst_1,Sst_10,Sst_2,Sst_3,Sst_4,Sst_5,Sst_6,Sst_7,Sst_8,Sst_9,VLMC_1,Vip_1,Vip_2,Vip_3,Vip_4,Vip_5,Vip_6,Vip_7,Vip_8,Vip_9
21,9.069882063978477,40.06916735744785,2.2094293752336935,0.1275556020453198,1.5560750692308485,4.036330493533902,10.155947061715116,54.23559653172672,9.305842048345482,100.8133370151097,13.066203432948038,4.824947655684235,26.252407906416586,77.87316105360898,30.350744589878296,8.644437709649193,17.375466017625563,18.992934595517255,41.77892823419525,14.897971793665338,4.3485738764017166,0.8393962566540178,33.58101029976733,21.313791446512425,6.991312930300455,9.651913606144994,0.7931431086136366,22.46480383218103,13.642651178196122,8.960483589137308,11.122408671689021,5.2202479150077075,5.281875302614616,3.995480030008937,3.896863168029355,2.7166039258322496,0.04179317057776471,8.773648761791224,0.062407193579534996,54.561157963925645,0.8466337914847699,1.5981995254746841,0.6946924378490908,0.18935446155760277,3.000648618507908,6.429084332326373,2.7748431559559417,0.32368507618464754,3.2621177115583504,1.2106208033594292,0.022734637491608704,0.010750516268299464,2.459233222168665,0.8602779197048259,1.246216650154328,2.03397132594764,4.2704598275583034,3.552172806295394,5.415668928616057,0.0952941998529932,0.9724567229771626,7.167661114987504,5.417600832682416,0.19762548684020606,1.5003505765982226,0.47273271815215423,0.9878498145762448,0.754722291070792,1.7862157699338856,1.7652766835249076,4.042850236645249,1.0019423951926305
23,7.047660243898924,39.01226849547108,1.6970052296182323,0.06504212442645739,1.2114609048799427,2.814438992225242,6.587503668198382,47.84596099623815,8.055638855472644,68.26445911280621,10.495379102725396,3.438364585753982,16.960101150630436,47.67619631088236,22.204532932860626,11.182159067409454,11.521967110747337,16.71361659372133,27.203769343658404,8.627694326307912,5.223412533893249,0.5658269311783123,26.78217738438984,17.78961284051069,8.018680123952423,7.266722208669496,0.7316582418732666,19.071119902148276,14.795788378772752,7.037395263202639,9.200852076460684,4.194755562132257,4.600075437000629,3.661470363368547,3.9915861447366296,2.8716621270848433,0.031154450646695208,8.047160469482805,0.08993894796083864,67.88763101114957,0.7305496479037091,1.2356830915275447,0.7623941395333094,0.23421927587175204,2.7098073087922634,5.163418965870942,3.0264831036791096,0.1639366186767785,2.269323482280039,0.8435241939690165,0.007315218323217746,0.011217301183707203,2.318791719833781,0.8640360831058924,1.224162199558753,1.5610725500592846,2.3363902844272344,1.7821935201802022,4.975790449515836,0.1050886089444747,0.7334379108918265,6.647789296307255,3.5114010250785435,0.1529959896046358,1.1996647428506853,0.5994463672618994,0.6408993329945469,0.5800600098980819,1.256453692073916,1.3194013531317461,2.9778619596331692,0.745714346731654
25,7.22411454481051,40.50492282988068,1.6722115839244893,0.07403518970140441,1.2425486157495567,2.6463705480145117,6.230147164919958,49.115919708941725,7.736053546441589,67.15615613413534,10.44430837842104,3.2755902656240563,15.843739700748609,46.435089405688025,22.315465709150992,11.765556957024756,11.031262279706779,16.599692580130355,26.859999044191635,8.215492742098688,5.406083373979391,0.5695585241024655,27.282076116504538,17.820689153033147,8.154234591022027,7.211158692244358,0.720332971262353,19.150747286790402,14.928492867956354,6.782791789131989,9.26082401276513,4.06531336936639,4.726105160265384,3.6783475027405985,4.097282967420684,3.2235204443412666,0.03102133649450163,8.225533621803967,0.09978042821231345,74.45182321731208,0.7107112452984672,1.2586712188698979,0.7962211847167687,0.24676896882562074,2.7094555211402747,5.168331147720994,3.1835814108868328,0.1528764052833189,2.1475391233421584,0.819795583145548,0.002883588939848662,0.013674809406794768,2.3130228793759247,0.8727138638584626,1.2771258124290106,1.5095447021905528,2.188733021852272,1.6665409363000687,5.01120951693229,0.11723333058313745,0.698630367296955,6.699343618854571,4.116396066617622,0.15260081950625276,1.2585336313603384,0.6667233057669428,0.6313615982509577,0.5414914433309913,1.2322780955620976,1.3118100790036706,2.92789773701184,0.6771518874804056
27,9.530274860282388,39.582793989356745,2.2382886334341108,0.14377428796384004,1.9817186977828234,4.969087070682553,11.179658268367248,46.10171422498167,12.443638146623487,98.73030508730922,12.664556803572507,6.400090966943926,30.69776527617139,78.516539293273,29.273372987899442,7.481011737958174,18.221172796761728,21.595287113510754,40.903215398387474,16.224019258695645,4.852315673872449,0.8389236101239114,34.25674931166792,19.74598156964908,7.5961223795661645,11.202512258934647,0.9878183943029976,21.065961369903512,16.161334982702154,10.030900592306752,12.648407168336888,4.3829181516317925,5.647667519137609,3.833366037905611,3.949976426449191,2.7331534917504294,0.06707637235472322,9.127742693070397,0.06080435142235662,47.77970605498769,0.8678351783363591,1.8859196749008058,0.6794181223938088,0.17188686929422464,3.1403370359978355,6.176425852739912,2.7000758814612364,0.41962440703422244,3.755541307933806,1.4883685347985325,0.0352079220237206,0.008672228364251067,2.604829725509878,0.7492289203525295,1.162604781751767,2.133322678512064,4.982848877145188,3.8130804871307014,5.8193683216677,0.11097119118963997,1.130027244883708,7.5173585759547805,6.8693373307216214,0.23861152144788356,1.4887199033594687,0.4970801634799933,1.0373054367186387,0.8107812792408651,1.914202437476424,1.8005728187161425,4.751813437135494,0.8685662711952222
29,8.871381374692577,39.9260452282546,1.7945843025716905,0.08228683977593276,1.1765148384110957,3.620414395976833,9.795507929994233,46.19590266370339,10.281002488726687,91.10636114273883,10.850452849503055,4.2392370822673815,21.31366846298759,54.39715268819836,23.274458504339783,9.646495826740532,12.675636683898805,17.594979432814124,28.811404215203037,9.9394161775098,4.551275050339695,0.5564608860756834,25.08558235231757,18.297208552688765,7.758673986084227,11.038579988132893,0.7496539333679242,18.470131966189527,15.238971875443552,7.694499404360898,9.84826541642727,4.492174377330506,5.069961656860495,3.4269130753055923,3.823909003274729,2.0589831172722235,0.05892652521885131,8.50114742899252,0.09011325681661304,51.07742352077875,0.7532385677047281,1.3923456866471917,0.6084043245244966,0.1890117244484792,2.5286626364799822,5.550837685909652,2.715572929404932,0.21547528075044486,3.0191237026200666,1.15474306954872,0.019052067363574083,0.00786303037545835,2.244916522004142,0.9305612062625227,1.115741431527952,1.849727300573989,2.907686427726477,2.700740954198015,5.265201524911235,0.11141086083206618,0.9439032249212492,6.616993033228278,2.751074041398711,0.16055399100691178,1.3352285806602346,0.4942264545022887,0.7713943828813865,0.6992566895620783,1.4685541447706396,1.5191560839367075,3.3827315809317176,0.901788933690659
31,9.14671314670698,38.77955516809015,1.8799646846969138,0.1072552995749892,1.3469630832356998,3.867878673978614,9.442614496048659,46.052963101417376,10.265686467786992,87.6198113736166,11.367219075677173,4.8053755623851755,23.526903614075067,60.692799592009536,25.793694692935503,8.959062623933779,14.826103234482213,18.033729211722246,32.089865648258986,11.325971361409719,4.33081288098003,0.6740488575630376,28.605865512808062,19.14867409496782,7.50682571826922,11.603609544945494,0.8082795950815532,19.396016221326416,15.197766385194118,8.08887786311914,10.451626299352595,4.2856543265381335,5.086904820195082,3.474414063547324,3.742446773896333,2.6653421761672513,0.06115440491276644,8.848678865731745,0.06027541428122191,50.03498595777651,0.7334458091833702,1.4951709267797788,0.6114133954409868,0.161504541031986,2.707829237465822,5.444669187365765,2.6742426792067384,0.273596502824758,3.0736070035670076,1.2370852288820728,0.02223180315816884,0.009447627628905582,2.19247598182798,0.8175503090242398,1.049833372645843,1.8553310466765616,3.4671869503521857,2.7581970978652883,5.214907621654338,0.0953234235038563,0.9156918352048242,6.550833515497605,4.259177746805429,0.18085959871163748,1.3025644747826493,0.4270201754406399,0.823138480363556,0.6636086665702412,1.5070091641351786,1.5444510393454984,3.690949198484553,0.857445481695619
33,9.30354208475277,39.29614942244181,1.7916565217749272,0.10348789080890815,1.3535565039219317,4.110749885264877,9.88921134953813,42.878237212113106,11.706688560040241,89.23306650568604,10.745673173059659,5.010716063517704,22.96434247615644,56.403515397000014,23.224817630976595,9.513730364154643,13.486630982343508,18.991248105116973,30.041027660409494,10.055941669746744,4.90111398701935,0.6764533291606986,27.027855819354127,18.30470375265112,7.919596164256306,12.779889734401213,0.8734139793498571,18.39691185266774,16.411404447225454,7.835710446398108,10.625881185750773,3.9071363258494243,5.1385845982072755,3.2788095488702726,3.716985540968823,2.5342465607762223,0.08939129017362442,8.73636641703796,0.0784543531870444,47.13088007982449,0.7383447799588253,1.5316642105861475,0.5994477363776115,0.19279756078751598,2.5763245965220634,5.276741333833843,2.771737294115082,0.24643011111893742,3.009381532996322,1.2387980408486272,0.019423648317404202,0.008840258160521126,2.197399136363103,0.8373214124639194,1.069253904605479,1.9412376779356224,3.280403168893688,2.809707756655203,5.45932178102329,0.11780941959961962,1.0028168689871206,6.885766292693398,4.464950917707215,0.17733721099181382,1.3991922349606576,0.5026860438766491,0.83870277589342,0.632987220926169,1.500434871421007,1.508228410142154,3.6195744808518127,0.8333478643898218
35,9.915177806170396,38.632447944487645,2.085232768925435,0.12833014606428783,1.7194756787654895,4.564374666037435,10.415792604003533,45.55882210406248,11.7391136406092,92.71169186879075,12.385079645677887,5.841452547741853,27.41887811885096,70.74481759149204,29.068444106454628,7.867167502490922,17.045735690679972,19.098746924933835,35.9031612367005,13.895039851945745,4.250550572993337,0.7857519202627413,32.147914071348495,19.454395096651407,7.515239029688531,12.72241376271104,0.9289094866146781,19.641245344729924,15.971010306729863,8.811200408169281,11.49432741764067,4.011730774911396,5.592065630893875,3.646223907936232,3.775303668325866,2.8949426808369982,0.08210951447238019,9.275905944646922,0.056014238928251275,47.266102238065685,0.7720106320692374,1.7234341285128931,0.6044893757388015,0.152386548875337,2.8788444713212495,5.7581901703635126,2.615647867911795,0.37111266246484714,3.5178804159198402,1.4406629828996629,0.03439201774918617,0.008456242175692899,2.2445678109937477,0.7365173465390119,1.0466066173123234,2.0307293875791568,4.294328032209314,3.3176545829686748,5.480627342703859,0.10272966945058858,1.0387601033986666,6.824075734404342,7.21237684839267,0.212304230569019,1.4437826846405228,0.4472525254417171,0.9805210715395138,0.7462439968848096,1.7519308356861587,1.7224864914521298,4.345862821764133,0.8384497190536317
37,9.338604166483087,41.67034122755881,1.669481950804611,0.11722253184139464,1.539269914126803,4.188659806550544,9.97552922279088,40.202823069891906,13.998938631570226,93.87031225581724,11.117222285856576,5.8618694482862095,23.31884633902465,65.35508066268069,23.52597047146063,9.685066871507185,13.932893069223365,20.324315134559782,33.53743787274628,10.184732256151307,5.14040540412643,0.8369355746881462,28.846684785545094,18.820701726670958,8.545163509374728,14.695879232159,1.109035842202568,18.319425515924873,17.343991308961698,8.569894575049814,11.603149584331707,3.6635428886268233,5.133237577261884,3.207828443791289,3.771164246897349,2.4955098598247845,0.18887068145809927,8.671761231751432,0.0928032421770705,49.18979387365115,0.7288853437766857,1.6386096650211972,0.6618495445533342,0.20476021545528145,2.653339778034256,5.434035548206209,2.8503137350943577,0.25260562459150077,2.9074105911162818,1.2099919661359175,0.016346419311247817,0.008198029322005444,2.4358660386666866,0.8035962715022382,1.2072173316635044,1.9320132792935132,3.7858340868854925,3.469691514482647,6.130432204969749,0.14768289672672677,1.0958546942101492,7.431278114014857,5.64392883133075,0.1601778081137766,1.6174946277818234,0.6380630893787491,0.9310311218391082,0.6101091769114108,1.6103236701218238,1.496705168968612,3.7976889278162345,0.7684863174670175
39,9.513414523904267,43.373831399927845,1.7791658353177047,0.12327968929827177,1.5036187744971399,3.9254099152454054,10.159840427234307,46.540724438882364,12.36754460146366,103.12329303629782,12.446202279179778,4.758097791059795,20.657793363990827,65.57329653273955,28.21387968845685,10.542210534392751,13.8268784121306,19.826133140052335,35.66418175081487,10.773579502703072,4.96136515063742,0.8487401814323363,29.712641880062563,19.761615384917825,7.797407002302252,13.006351019885146,0.887712623107617,20.003168056521048,15.90156997017171,7.927941922452678,11.391980979101039,4.232035737048694,5.392932540360903,3.6056592624744788,3.9917020512907206,2.4790008806277464,0.16962657983661183,8.236102719511104,0.11019432291477398,57.51981260169232,0.7493364134294564,1.766695496586973,0.7977325708624011,0.2788110652257232,2.561983575742403,6.230546706691213,3.0404968805875336,0.22240531682280804,2.75333839482731,1.1942343518506884,0.012665135210758549,0.011285741768140772,2.600629313961103,0.9041218138514207,1.365974808087559,2.0383906026187373,3.630165115938122,3.8710839871096794,6.115186466192279,0.1566097650771326,1.17904946872577,7.836615703586735,6.111940764089676,0.1725990961804814,1.945928021559635,0.8060976667407638,1.05407231737948,0.6430812906477064,1.6225196487684301,1.6787060084010157,3.646029865780236,0.8726741674142688
