branch,layer,ctype,r_obs,p_value,n_perm_used,p_adjusted,reject_H0,p_value_original,unique_mismatch_extreme_count,n_unique_mismatch
within_layer__clr_false__thickness_absolute,l3,Pvalb,0.1064894140188006,0.8333333333333334,600,0.9623015873015874,False,0.800332778702163,4,5
within_layer__clr_false__thickness_absolute,l3,Sncg,0.3899327328267941,0.8333333333333334,600,0.9623015873015874,False,0.800332778702163,4,5
within_layer__clr_false__thickness_absolute,l3,Sst,0.3663529959402459,0.3333333333333333,600,0.9509803921568626,False,0.2013311148086522,1,5
within_layer__clr_false__thickness_absolute,l3,Vip,0.5747203295104009,0.3333333333333333,600,0.9509803921568626,False,0.2013311148086522,1,5
within_layer__clr_false__thickness_absolute,l4,Astro,-0.4764733902471728,1.0,600,1.0,False,1.0,5,5
within_layer__clr_false__thickness_absolute,l4,Chandelier,-0.222691853481491,1.0,600,1.0,False,1.0,5,5
within_layer__clr_false__thickness_absolute,l4,Endo,-0.0648582622822465,1.0,600,1.0,False,1.0,5,5
within_layer__clr_false__thickness_absolute,l4,L2/3 IT,0.2334876015388788,0.16666666666666666,600,0.9509803921568626,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l4,L4 IT,0.2906507645758214,0.5,600,0.9509803921568626,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_absolute,l4,L5 ET,-0.2626517961485073,1.0,600,1.0,False,1.0,5,5
within_layer__clr_false__thickness_absolute,l4,L5 IT,-0.572340522048613,1.0,600,1.0,False,1.0,5,5
within_layer__clr_false__thickness_absolute,l4,L5/6 NP,0.5337582165754241,0.16666666666666666,600,0.9509803921568626,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l4,Lamp5,-0.0272714246800238,0.5,600,0.9509803921568626,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_absolute,l4,Lamp5_Lhx6,0.4570909944205233,0.16666666666666666,600,0.9509803921568626,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l4,Micro-PVM,-0.433386892949891,1.0,600,1.0,False,1.0,5,5
within_layer__clr_false__thickness_absolute,l4,OPC,-0.3523804866972702,1.0,600,1.0,False,1.0,5,5
within_layer__clr_false__thickness_absolute,l4,Oligo,0.3606754359292924,0.16666666666666666,600,0.9509803921568626,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l4,Pax6,0.0760832756670138,0.16666666666666666,600,0.9509803921568626,False,0.0016638935108153,0,5
within_layer__clr_false__thickness_absolute,l4,Pvalb,-0.1138299824847342,1.0,600,1.0,False,1.0,5,5
within_layer__clr_false__thickness_absolute,l4,Sncg,-0.4951693447745643,1.0,600,1.0,False,1.0,5,5
within_layer__clr_false__thickness_absolute,l4,Sst,-0.519443690854201,1.0,600,1.0,False,1.0,5,5
within_layer__clr_false__thickness_absolute,l4,Vip,-0.3850336036817052,1.0,600,1.0,False,1.0,5,5
within_layer__clr_false__thickness_absolute,l5,Astro,0.5270612997625456,0.3333333333333333,600,0.9509803921568626,False,0.2013311148086522,1,5
within_layer__clr_false__thickness_absolute,l5,Chandelier,0.4915186678751911,0.5,600,0.9509803921568626,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_absolute,l5,Endo,0.1960244289246862,0.5,600,0.9509803921568626,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_absolute,l5,L4 IT,0.2535003670120345,0.5,600,0.9509803921568626,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_absolute,l5,L5 ET,0.4279783212026892,0.3333333333333333,600,0.9509803921568626,False,0.2013311148086522,1,5
within_layer__clr_false__thickness_absolute,l5,L5 IT,-0.4298698254570856,0.8333333333333334,600,0.9623015873015874,False,0.800332778702163,4,5
within_layer__clr_false__thickness_absolute,l5,L5/6 NP,-0.3040389259621555,0.6666666666666666,600,0.9509803921568626,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l5,L6 CT,-0.0750007188573897,0.5,600,0.9509803921568626,False,0.4009983361064891,2,5
within_layer__clr_false__thickness_absolute,l5,L6 IT,-0.3548189792104098,0.8333333333333334,600,0.9623015873015874,False,0.800332778702163,4,5
within_layer__clr_false__thickness_absolute,l5,L6 IT Car3,0.1017781197981869,0.8333333333333334,600,0.9623015873015874,False,0.800332778702163,4,5
within_layer__clr_false__thickness_absolute,l5,L6b,-0.215649637347946,0.6666666666666666,600,0.9509803921568626,False,0.6006655574043261,3,5
within_layer__clr_false__thickness_absolute,l5,Lamp5,0.146938747010186,0.3333333333333333,600,0.9509803921568626,False,0.2013311148086522,1,5
within_layer__clr_false__thickness_absolute,l5,Lamp5_Lhx6,-0.2488150924403409,0.6666666666666666,600,0.9509803921568626,False,0.6006655574043261,3,5
